ID,WhosData,Date,InterviewTime,Interviewer,Transect,Access,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,TimesInTwenty,TimesInNineteen,Covid,Meta.x,Meta.y,Use.x,Use.y,ActivityDate,FishingType,BaitLure,TimeStartEX,TimeOutEx,MedianTimeEX,DecMedianTimeEX,HoursEx,DecHoursEx,MaxDepth,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP,Species,WhyLeaveEx,Activity,TimeStartNEX,TimeEndNEX,MedianTimeNEX,DecMedianTimeNEX,HoursNEX,DecHourNEX,DivingDepth,WhyThisSite,WhyLeaveNEX,DaysOfYrFishedBoat,DaysOfYrFishedShore,DaysOfYrFished,DaysOfYrNEX,YrsFishing,YrsNEX,DiveCert,DiveNum,YrBorn,Postcode,Accom,Sex,Party,BoatLength,BoatType,BoatName,Comments
22,Jon,22/07/15,17:30,Jon,Bundegi,BunBR,NA,Yes,NA,NA,NA,NA,NA,114.174006,-21.831222,114.0529457,-21.70759694,22/07/15,Trolling,Lure,08:00,17:00,12:30,12.5,09:00,9,5,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,44325,"1fish caught, trolling over huge area, point just where he was,6m metal boat with covered console"
26,Jon,23/07/15,12:30,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.1419532,-21.95969266,23/07/15,Demersel,Bait,10:45,12:15,11:30,11.5,01:30,1.5,10,NA,NA,3,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Az395,"3 fish caught, 3m tinny boat"
28,Jon,24/07/15,17:00,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7240689,-23.11393725,24/07/15,Demersel,Bait,10:30,16:00,13:15,13.25,05:30,5.5,NA,NA,NA,20,0,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,25,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Ea717,"20 fish caught total, 3m tinny"
30,Jon,24/07/15,14:30,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.7268588,-23.23369154,24/07/15,Trolling,Lure,09:30,13:30,11:30,11.5,04:00,4,5,NA,NA,3,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Dq910,"3 caught none lost to sharks, 4m fibreglass boat, bright red with black shade"
33,Jon,24/07/15,15:45,Jon,CoralBay ,CBBR,NA,Yes,NA,NA,NA,NA,NA,113.766285,-23.155068,113.5827827,-23.02635955,24/07/15,Demersel,Lure,11:00,15:15,13:07,13.12,04:15,4.25,70,NA,NA,0,3,3,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Ak673, on sight","0 fish caught undamaged, 3 lost to sharks, 7m covered metal boat, dark blue hull"
37,Jon,25/07/15,15:45,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.961349,-21.89814621,25/07/15,Demersel,Bait,10:00,15:00,12:30,12.5,05:00,5,10,NA,NA,32,0,32,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,45,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Cj296s,"32 fish caught total, 3m tinny, "
45,Jon,25/07/15,17:15,Jon,Tantabiddi,TantBR,NA,Yes,NA,NA,NA,NA,NA,113.977627,-21.912187,113.7968669,-22.05304314,25/07/15,Demersel,Bait,08:00,16:30,12:15,12.25,08:30,8.5,110,NA,NA,25,3,28,10.71428571,0.107142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Em063,"25 fish caught total, 3 fish lost, 6m white metal covered boat"
49,Jon,26/07/15,14:00,Jon,Bundegi,BunBR,NA,Yes,NA,NA,NA,NA,NA,114.174006,-21.831222,114.2120335,-21.76737503,26/07/15,Demersel,Bait,11:45,13:15,12:30,12.5,01:30,1.5,10,NA,NA,3,3,6,50,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Av131,"3 fish caught undamaged, 3 lost to sharks, 5m white metal boat, with dark blue cover"
51,Jon,28/07/15,14:45,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.151261,-21.95661195,28/07/15,Demersel,Bait,11:00,14:15,12:37,12.62,03:15,3.25,5,NA,NA,57,0,57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Ep087,"57 fish, 0 lost, 3m tinny, "
54,Jon,28/07/15,13:30,Jon,Exmouth,ExBR,NA,Yes,NA,NA,NA,NA,NA,114.139452,-21.955837,114.1679826,-21.88039873,28/07/15,Demersel,Bait,08:30,12:30,10:30,10.5,04:00,4,20,NA,NA,20,0,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,40,NA,NA,NA,NA,NA,NA,NA,NA,3,C,Eb6?7,"20 fish brought in undamaged, 0 lost, 3m tinny"
