OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",x,y
194,7cb51318-863b-4561-9a7c-1531c3309708,Boat,,Demersal,Bait,06:00,11:40,40,0,0,0,,LowCatch,,0100ba9d-eaad-4dc1-8d8b-3b2a3c0fd8fb,3/15/2022 4:22:55 AM,Nicole.Hamre_UWA,3/15/2022 4:22:55 AM,Nicole.Hamre_UWA,No,,122.00310048149,-33.9530026382273
195,6439b27f-3f8b-456b-bb14-cd70deb3fd70,Boat,,Demersal,Bait,08:00,12:0,45,5,5,0,"Nanniguie, queenie. Swallowtail",Weather,,9c833a9a-779b-45f4-bc43-966a8bdc22b1,3/15/2022 4:58:50 AM,Nicole.Hamre_UWA,3/15/2022 4:58:50 AM,Nicole.Hamre_UWA,No,,122.070879637199,-33.9694425056931
196,e848a873-15a5-4f09-adb5-5a8e07bb1414,Boat,,Demersal,Bait,05:00,12:45,68,0,18,0,Nanniguie black ass ,EndOfDay,,aac30f54-8797-4cdd-b9c8-ad9623f8438f,3/15/2022 6:14:05 AM,Nicole.Hamre_UWA,3/15/2022 6:14:05 AM,Nicole.Hamre_UWA,No,,121.9226962303,-34.0183223074344
197,a50fe43d-acbf-49f7-a7f1-c3b0635f25c4,Boat,,Demersal,Both,07:00,12:30,80,4,1,4,"Nanniguie, ",EndOfDay,"One shark, mako shark ",af9de658-a830-4390-98e5-4985410750d1,3/15/2022 7:09:07 AM,Nicole.Hamre_UWA,3/15/2022 7:09:07 AM,Nicole.Hamre_UWA,No,,121.367744615271,-34.0549901682016
198,c7d77e7a-2d1e-425a-a692-333ad181f833,Boat,,Casting,Both,09:50,11:20,4,4,3,0,Herring,Weather,,ee129e3e-adce-4e8c-a482-4674f7178871,3/16/2022 3:21:45 AM,Nicole.Hamre_UWA,3/16/2022 3:21:45 AM,Nicole.Hamre_UWA,No,,121.946095236902,-33.8714125571171
199,ea54c0f5-a231-458c-bd4b-6dc7c7b8028f,Boat,,Casting,Bait,07:45,10:20,5,2,4,0,Herring,Other,,37b0de87-29b6-4669-acad-b7b12b5a1a67,3/17/2022 2:32:56 AM,Nicole.Hamre_UWA,3/17/2022 2:32:56 AM,Nicole.Hamre_UWA,No,,121.936326793009,-33.8621456181214
200,f7415b1e-69fa-4594-be09-aff9b4c91ef4,Boat,,Demersal,Bait,07:30,11:30,80,3,14,0,"Queenie. Nanniguie, blasts ass ",Weather,,2cd4c640-a1ad-44cd-b1c1-044e09f2f4d7,3/17/2022 5:03:33 AM,Nicole.Hamre_UWA,3/17/2022 5:03:33 AM,Nicole.Hamre_UWA,No,,121.963042479353,-34.4142174818033
201,3389bf50-8f9e-4a9e-9121-ddb969a3e2c6,Boat,,Demersal,Both,07:00,12:20,60,15,2,0,"Nanniguie, black ass, pink snapper, swallowtail",EndOfDay,,1ded2003-8f65-4502-a49b-af07329127a9,3/17/2022 5:08:31 AM,Nicole.Hamre_UWA,3/17/2022 5:08:31 AM,Nicole.Hamre_UWA,No,,121.862804674451,-34.0556675280368
202,1d2d0559-d142-4115-ad69-99be01045c50,Boat,3/17/2022 5:47:16 AM,Demersal,Bait,06:30,13:00,60,10,0,0,"Queenie, nanniguie, ",Weather,,041c13e0-6654-431c-b48b-cd87741b5192,3/17/2022 5:48:36 AM,Nicole.Hamre_UWA,3/17/2022 5:48:36 AM,Nicole.Hamre_UWA,No,,122.234774378093,-34.143274276303
203,5a70830e-16f2-4297-a728-453eae5445ef,Boat,,Trolling,Both,07:00,12:00,60,24,2,0,"Herring, mackerel, snook",Weather,,6b5a82b9-411a-41a8-ae85-7b964f673b35,3/17/2022 5:53:11 AM,Nicole.Hamre_UWA,3/17/2022 5:53:11 AM,Nicole.Hamre_UWA,No,,121.900373110761,-33.9243623672601
204,0d9b362f-db1f-4b78-853c-ae9d7b9b2c65,Boat,,Demersal,Bait,07:00,12:00,60,10,6,0,"Nanniguie, queenie, black ass, fox fish",Weather,,91b33f2d-06f6-4e2a-88a1-543b9be54a41,3/17/2022 6:07:04 AM,Nicole.Hamre_UWA,3/17/2022 6:07:04 AM,Nicole.Hamre_UWA,No,,121.884010355353,-34.0460272584767
205,c4de07e0-fbf4-44e2-af48-16581bc4f8c6,Boat,,Casting,Both,09:00,14:00,17,15,2,0,"Herring, mackerel ",Weather,,3bb08b49-56c6-4cb4-9ebd-8a97fd3d8c4a,3/17/2022 6:29:51 AM,Nicole.Hamre_UWA,3/17/2022 6:29:51 AM,Nicole.Hamre_UWA,No,,121.921788275195,-33.8817051963256
206,1efa9d4f-ea00-461f-a20b-36b71a6c4c28,Boat,,Demersal,Lure,08:00,14:0,80,14,2,0,"Nanniguie, black ass, queen snapper ",EndOfDay,,7aec5a5b-9ad2-44c1-ac62-9dfd9b51fafb,3/17/2022 6:57:45 AM,Nicole.Hamre_UWA,3/17/2022 6:57:45 AM,Nicole.Hamre_UWA,No,,121.986305142356,-34.0929464728385
207,6f05f333-ce59-461b-96f9-f503e2c0c7d3,Boat,,Demersal,Bait,08:00,10:00,50,0,7,0,0,Weather,,35fc51e9-fd37-4eeb-928c-77c70a4f7784,3/15/2022 3:26:08 AM,Nicole.Hamre_UWA,3/15/2022 3:26:08 AM,Nicole.Hamre_UWA,No,,121.610921929568,-34.0252922567576
208,5f68c899-068d-48c4-b20a-1ed05c5b4c51,Boat,,Demersal,Bait,07:00,11:00,65,25,3,0,"Nannagui, breaksea cod, queen snapper, blue grouper",EndOfDay,,fcefdf9e-cd40-4f12-af12-8f33ab568065,3/15/2022 4:15:22 AM,Nicole.Hamre_UWA,3/15/2022 4:15:22 AM,Nicole.Hamre_UWA,No,,121.933419464763,-34.1386244432215
