OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number and/or name,Comments,CreationDate,Creator,EditDate,Editor
17,9101527f-4c5f-41f6-bbf0-c489b8806d46,8ef85227-8aa8-41ec-b017-40cf8c1516cd,75,20,None,,1999,6450,Esperance,Male,,1,,,4,AV079,,1/23/2022 5:16:24 AM,Nicole.Hamre_UWA,1/23/2022 5:16:24 AM,Nicole.Hamre_UWA,,
18,4f09e679-0dc4-4b46-857f-040727dfb9a5,27d42d98-c39d-4243-b705-15f8ee4f34f9,12,20,None,0,1975,6237,PinkLake,Female,0,1,0,4,4,D1507,Flat rock - 2km off Wyllie point,1/20/2022 3:21:59 AM,Nicole.Hamre_UWA,1/20/2022 3:21:59 AM,Nicole.Hamre_UWA,,
19,340e32e1-9565-4795-a3b0-45625aed46df,f11653ec-00b4-43a0-9ccc-17f9c2078a2f,50,55,None,0,1963,0,Esperance,Female,0,0,0,0,6,GF954,,1/20/2022 3:35:25 AM,Nicole.Hamre_UWA,1/20/2022 3:35:25 AM,Nicole.Hamre_UWA,,
20,71d9a23f-25fc-4200-b103-31e68ab87e30,f8c7b042-f471-4389-b8e4-020f1be4ce9d,30,30,I,550,1985,0,Esperance,Male,0,0,0,0,8,Dm262,Wasn’t an instructor but very experience commercial tech diver with over 5000 dives,1/20/2022 4:18:14 AM,Nicole.Hamre_UWA,1/20/2022 5:11:24 AM,Nicole.Hamre_UWA,,
21,8ee1fb23-77f5-4232-9bec-7fc7e5d16040,88780bb7-d3cd-474a-8a17-f5540f5eff05,30,30,None,0,1961,0,Esperance,Male,0,0,0,0,5,GQ273,"MP is a good thing we can’t keep raping and pillaging the ocean, as a red fisher we go out for enjoyment. We’ve been told we will be consider so just have to hope that’s true.",1/20/2022 4:32:18 AM,Nicole.Hamre_UWA,1/20/2022 4:32:18 AM,Nicole.Hamre_UWA,,
22,d12d02b3-6ee9-4774-a999-6da71cd67f12,5598b27d-78b7-4155-8248-6ea143f2d96e,30,30,OW,200,1980,6171,Castletown,Male,,1,,1,4,Bt632,,1/20/2022 5:05:44 AM,Nicole.Hamre_UWA,1/20/2022 5:05:44 AM,Nicole.Hamre_UWA,,
23,cb75cf50-70e2-4e5f-aa4e-c0ada5117b1a,16a592b9-b766-4033-9b88-4b4d26cc2052,6,40,OW,6,1979,6280,Esperance,Male,0,0,0,0,4,GJ987,,1/21/2022 1:03:16 AM,Nicole.Hamre_UWA,1/21/2022 1:03:16 AM,Nicole.Hamre_UWA,,
24,26ebd945-baa5-4219-b266-ff5975d6ac44,bb2d0ca0-d8ba-4f21-866f-56ac5bffaf8c,12,30,None,0,1987,6069,Esperance,Female,0,1,2,2,5,49621/Pegasus,,1/21/2022 3:13:30 AM,Nicole.Hamre_UWA,1/21/2022 3:13:30 AM,Nicole.Hamre_UWA,,
25,8ec101e8-f5b8-4a01-91fd-02da18893cc9,501e1d61-2b4a-4de3-a678-d2b49f194587,20,10,None,0,1992,0,Esperance,Female,0,1,0,0,3,42950,,1/21/2022 3:18:46 AM,Nicole.Hamre_UWA,1/21/2022 3:18:46 AM,Nicole.Hamre_UWA,,
26,98478148-f782-4f36-a4e0-3212ab8b11e9,c06c5453-0167-4963-a346-01e85fcc898f,50,45,None,0,1969,0,Esperance,Male,1,1,0,0,3,BA299,,1/22/2022 12:00:54 AM,Nicole.Hamre_UWA,1/22/2022 12:00:54 AM,Nicole.Hamre_UWA,,
