OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_user,created_date,last_edited_user,last_edited_date
48,53c87cbf-8d74-4162-8986-c3d799fef601,6a0ea7b0-1740-45f7-8476-321a15319828,20,35,None,,1978,6450,Esperance,Male,,1,,2,7,A383,,Nicole.Hamre_UWA,4/18/2022 2:12:35 AM,Nicole.Hamre_UWA,4/18/2022 2:12:35 AM
49,8ca173ff-f262-4221-b68b-0e5e45ffe92a,ea8fb10b-ca3b-41ff-b40b-8a4176f98ef3,30,30,None,,1971,6450,Esperance,Male,,2,,,6,Gs185,,Nicole.Hamre_UWA,4/18/2022 3:23:39 AM,Nicole.Hamre_UWA,4/18/2022 3:23:39 AM
50,d8d7f9dd-caf0-4669-9666-18bd46a81926,74b97a2d-c577-4c9e-bcd6-51a65787504c,50,30,None,,1976,6450,Esperance,Male,1,1,1,1,6,Ge716,,Nicole.Hamre_UWA,4/18/2022 4:13:27 AM,Nicole.Hamre_UWA,4/18/2022 4:13:27 AM
51,23e8d914-75dc-404e-aa4a-f5f369273be0,043e22af-10e1-466d-8f9f-87d55181a93b,10,30,None,,1972,6450,Esperance,Male,,3,,,3,"?72	1",Small cream boat ,Nicole.Hamre_UWA,4/18/2022 5:02:21 AM,Nicole.Hamre_UWA,4/18/2022 5:02:21 AM
52,7964ad6f-5fca-4803-954f-b467e730fc04,9fb72fa6-1bab-466d-88d9-08f15ae944b7,2,70,None,,1946,6450,Esperance,Male,,1,,,5,Bb822,,Nicole.Hamre_UWA,4/18/2022 5:41:24 AM,Nicole.Hamre_UWA,4/18/2022 5:41:24 AM
53,0cdf7b90-0f1d-4737-86c4-89985cc79d4f,623e3204-89bc-404a-a8d9-c432906b6418,50,20,None,,1985,6450,Esperance,Male,,1,,1,4,Ds104,,Nicole.Hamre_UWA,4/18/2022 5:54:15 AM,Nicole.Hamre_UWA,4/18/2022 5:54:15 AM
54,f56c2169-1353-45bd-98a5-ce8c8888a0d0,d664f9e8-83da-4331-b807-23006dcaa809,8,15,None,,1964,6450,Esperance,Male,,2,,1,8,Aj288,,Nicole.Hamre_UWA,4/18/2022 5:58:17 AM,Nicole.Hamre_UWA,4/18/2022 5:58:17 AM
55,ea8beee2-e750-4d29-978a-794d62e41cc2,75a03b32-df2a-4afe-9275-a1ef7c757e20,40,20,None,0,1998,6018,Esperance,Male,1,0,0,0,4,CA449N,,Nicole.Hamre_UWA,4/20/2022 1:17:06 AM,Nicole.Hamre_UWA,4/20/2022 1:18:53 AM
56,1f5e119f-5185-4dff-beae-f0d9ff28b0e5,5ec5b953-f11e-4a38-b87c-781e73fb1e07,1,50,None,0,1961,6064,Esperance,Male,0,2,0,0,3,GK311,,Nicole.Hamre_UWA,4/20/2022 4:49:21 AM,Nicole.Hamre_UWA,4/20/2022 4:49:21 AM
57,b55758b4-5459-47fb-a931-a5ff7fe6f8bd,ed1c1aa8-ffff-45e0-bd5d-da3d313b93ff,60,21,OW,5,2000,6008,Esperance,Male,0,3,0,0,6,DY416,,Nicole.Hamre_UWA,4/20/2022 5:54:34 AM,Nicole.Hamre_UWA,4/20/2022 5:54:34 AM
58,1d9247b6-e5c7-4837-bb28-018abf125c1f,30ad1e3a-2818-4c08-9595-224c43f8847c,2,35,OW,50,1965,6450,Esperance,Female,1,1,,,3,,Red blow up dingy ,Nicole.Hamre_UWA,4/23/2022 2:01:02 AM,Nicole.Hamre_UWA,4/23/2022 2:02:46 AM
59,2d8e2e28-f9d8-47a5-bc0a-e161d2ee2f22,128459a5-22c9-4f8f-ab70-07c848e61ad6,3,10,None,,1973,6450,Esperance,Male,,1,,,4,Gh547,,Nicole.Hamre_UWA,4/23/2022 3:16:49 AM,Nicole.Hamre_UWA,4/23/2022 3:16:49 AM
60,5db3c879-8a3b-4211-bf89-14f443b33a51,c2516254-3ad8-42c3-a767-d8ad52b1f4c2,15,20,None,,1970,6450,Esperance,Male,,,,1,4,Gi455,,Nicole.Hamre_UWA,4/23/2022 3:29:24 AM,Nicole.Hamre_UWA,4/23/2022 3:29:24 AM
