exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Did anything detract from your experience at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
db148d33-be9c-40bf-b12a-8e7d98c840ac,Boat,,Trolling,Lure,8:30,9:30,0,2,0,0,Herring,EndOfDay,No,No,,082ab2a4-696d-4352-a915-5bf99cc703c7,Nicole.Hamre_UWA,4/15/2022 1:57:23 AM,Nicole.Hamre_UWA,4/15/2022 1:57:23 AM,121.9289386,-33.85955643
48a5e583-8e0a-4224-ba44-44f105847073,Boat,,Casting,Lure,9:00,11:00,0,0,5,0,,EndOfDay,No,No,Inshore fishing released herring,2123b7b0-8c90-40e4-8216-0a4de3d71d91,Nicole.Hamre_UWA,4/15/2022 2:59:54 AM,Nicole.Hamre_UWA,4/15/2022 3:03:14 AM,121.915405,-33.86849719
f9ba50eb-3783-4575-8621-eb242d578984,Boat,,Demersal,Bait,8:30,11:00,22,0,10,0,,ActivityChange,No,No,,5f3e9d40-bc02-44f4-ab0b-ddb3302b2988,Nicole.Hamre_UWA,4/15/2022 3:14:43 AM,Nicole.Hamre_UWA,4/15/2022 3:14:43 AM,121.8955413,-33.91051483
f9ba50eb-3783-4575-8621-eb242d578984,Boat,,Trolling,Lure,11:00,11:15,0,0,0,0,,EndOfDay,No,No,,ca6cf232-e475-45a8-81d5-3d362c71220b,Nicole.Hamre_UWA,4/15/2022 3:15:46 AM,Nicole.Hamre_UWA,4/15/2022 3:15:46 AM,121.9309995,-33.88065978
c1269ca1-4178-4f9f-8eeb-6a3963ad05f6,Boat,,Demersal,Bait,7:00,11:15,16,35,15,0,"2squid, 2 flat head, 25 sand whiting, 6 herring",EndOfDay,No,No,,1cb3619d-de54-4145-9475-c2060ca5a37f,Nicole.Hamre_UWA,4/15/2022 3:29:08 AM,Nicole.Hamre_UWA,4/15/2022 3:31:28 AM,121.8536336,-33.90701565
e17a1455-fb18-498c-a7d1-ff8bd6ca5af0,Boat,,Trolling,Lure,7:00,9:00,0,0,0,0,,ActivityChange,No,No,,b09a26cc-b572-4764-8262-82f6a84308cd,Nicole.Hamre_UWA,4/15/2022 4:03:49 AM,Nicole.Hamre_UWA,4/15/2022 4:03:49 AM,121.9057708,-33.94446661
e17a1455-fb18-498c-a7d1-ff8bd6ca5af0,Boat,,Demersal,Bait,9:30,11:00,30,0,2,0,,ActivityChange,No,No,,f80f0de1-bf0c-4fb2-8db6-404152894ef5,Nicole.Hamre_UWA,4/15/2022 4:04:55 AM,Nicole.Hamre_UWA,4/15/2022 4:04:55 AM,122.0261524,-33.88434431
e17a1455-fb18-498c-a7d1-ff8bd6ca5af0,Boat,,Casting,Lure,11:30,12:00,4,1,6,0,0,EndOfDay,No,No,,78e29f2c-9041-43c4-86c5-53482be7b43a,Nicole.Hamre_UWA,4/15/2022 4:06:00 AM,Nicole.Hamre_UWA,4/15/2022 4:06:00 AM,121.9000769,-33.8651627
e58ec471-186b-4132-a04a-8f9764d757de,Boat,,Demersal,Bait,6:30,11:00,43,4,10,0,"2queenie, 2 breaksea",EndOfDay,No,No,,8bb6d9c5-1cc1-4955-be1b-c46d96fd7e65,Nicole.Hamre_UWA,4/15/2022 4:45:32 AM,Nicole.Hamre_UWA,4/15/2022 4:45:32 AM,121.8794528,-33.92705816
73f69097-9ede-4ca1-92b9-79470a32c70b,Boat,,Squidding,Lure,9:00,12:00,9,1,0,0,Squid,LowCatch,No,No,,82a0220c-003a-49e1-b087-8adfd4d88be8,Nicole.Hamre_UWA,4/15/2022 4:54:28 AM,Nicole.Hamre_UWA,4/15/2022 4:54:28 AM,121.9067544,-33.88317332
