exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Did anything detract from your experience at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
128459a5-22c9-4f8f-ab70-07c848e61ad6,Boat,,Demersal,Bait,10:00,11:15,15,0,0,0,,Weather,No,,,78f3c38c-17ee-4c6b-af5e-cdeb188312fb,Nicole.Hamre_UWA,4/23/2022 3:15:11 AM,Nicole.Hamre_UWA,4/23/2022 3:15:11 AM,122.0287846,-33.94244696
c2516254-3ad8-42c3-a767-d8ad52b1f4c2,Boat,,Demersal,Bait,8:00,11:00,55,16,12,0,"Pink snapp, blackass, harly, nanny ",BagLimit,No,,,305aa0d3-562b-4f68-bbf5-b714e9dc7755,Nicole.Hamre_UWA,4/23/2022 3:27:39 AM,Nicole.Hamre_UWA,4/23/2022 3:27:39 AM,121.9321527,-34.15293521
f4883840-d4df-48bf-aaf8-af8e99101ac2,Boat,,Squidding,Lure,9:00,11:45,14,1,10,0,Squid,EndOfDay,No,,,fc0d8125-0623-4dd7-8bd4-6b68f6f533d4,Nicole.Hamre_UWA,4/23/2022 4:01:37 AM,Nicole.Hamre_UWA,4/23/2022 4:01:37 AM,121.9478381,-33.86351029
6a9677c1-831a-48f8-9ffd-8f1ea1011869,Boat,4/23/2022 5:33:14 AM,Squidding,Lure,6:00,13:00,15,4,0,0,"Squid, cutter fish ",Weather,No,,,4bb9d21c-e251-44ab-bdfa-b17cabdaae80,Nicole.Hamre_UWA,4/23/2022 5:33:58 AM,Nicole.Hamre_UWA,4/23/2022 5:33:58 AM,121.9144104,-33.86432042
e9b5764b-0150-4106-a54e-1af88e101169,Boat,,Casting,Lure,7:00,9:00,6,2,2,0,Squid,ActivityChange,No,No,,227ce2cf-f96a-4e59-9258-e283fa024564,Nicole.Hamre_UWA,4/24/2022 2:26:54 AM,Nicole.Hamre_UWA,4/24/2022 2:26:54 AM,121.9010891,-33.86416876
e9b5764b-0150-4106-a54e-1af88e101169,Boat,,Casting,Lure,9:00,10:15,12,2,0,0,Squid,EndOfDay,No,No,,ccd92547-97cd-4ad9-9f92-0b770ea93c74,Nicole.Hamre_UWA,4/24/2022 2:27:59 AM,Nicole.Hamre_UWA,4/24/2022 2:27:59 AM,121.9204329,-33.87434987
1345a27e-274a-4108-a1a1-c044f702c843,Boat,,Casting,Bait,9:00,9:30,0,7,6,0,"6 herring, 1 skippy",Weather,No,No,,67189167-2522-45ce-90cb-616d5fbcaa76,Nicole.Hamre_UWA,4/24/2022 2:32:52 AM,Nicole.Hamre_UWA,4/24/2022 2:32:52 AM,121.9067428,-33.8805494
9271e86d-8379-4603-bc80-fec576ca47d6,Boat,,Squidding,Lure,8:30,10:30,10,4,2,0,Squid,Weather,No,No,,81f5ae3f-5c21-48bf-9ba6-888f53201d11,Nicole.Hamre_UWA,4/24/2022 2:40:06 AM,Nicole.Hamre_UWA,4/24/2022 2:40:06 AM,121.9003712,-33.86623073
760483b0-4b5c-468c-aa95-0e0054e13304,Boat,,Squidding,Lure,9:45,10:45,5,2,1,0,Squid,EndOfDay,No,No,,9441ea34-b74b-4216-803c-39fde4417313,Nicole.Hamre_UWA,4/24/2022 2:46:02 AM,Nicole.Hamre_UWA,4/24/2022 2:46:02 AM,121.9008392,-33.86825476
8e2a6fcc-ea41-4c4c-a8c1-c4a6a441e9f4,Boat,,Demersal,Bait,8:00,10:00,30,0,4,0,,LowCatch,BadConditions,No,,9b165c09-9f7e-40ea-b17b-6ae8b5d81729,Nicole.Hamre_UWA,4/24/2022 2:49:36 AM,Nicole.Hamre_UWA,4/24/2022 2:49:36 AM,121.9037864,-33.92958305
3c5b8fb3-dd96-4185-bfbe-26bf858c8d7e,Boat,,Demersal,Bait,7:00,9:00,30,5,10,0,"Black arse, skippy, harlequin",Weather,No,No,,255c5154-3ea5-4a94-bd86-be5e7f8973a1,Nicole.Hamre_UWA,4/24/2022 2:59:17 AM,Nicole.Hamre_UWA,4/24/2022 2:59:17 AM,121.9055638,-33.92726954
d096f056-14f8-4ff7-9c91-573ab4fec41e,Boat,,Trolling,Lure,7:00,9:00,0,0,3,0,,Weather,No,No,,55fcaad3-e424-4690-9577-c85e5045c263,Nicole.Hamre_UWA,4/24/2022 3:07:30 AM,Nicole.Hamre_UWA,4/24/2022 3:07:30 AM,121.8888565,-33.93974687
d096f056-14f8-4ff7-9c91-573ab4fec41e,Boat,,Squidding,Lure,9:00,11:00,5,4,0,0,Squid,EndOfDay,No,No,,31dd93bc-23b7-46de-b1a1-1a1e153aa736,Nicole.Hamre_UWA,4/24/2022 3:08:20 AM,Nicole.Hamre_UWA,4/24/2022 3:08:20 AM,121.9009138,-33.865209
10fd9da0-9bb9-4d72-83de-a8baf86b584a,Boat,,Squidding,Lure,11:00,11:45,6,0,0,0,,EndOfDay,No,No,,0df4f224-e38b-405f-8808-c1082de9ce5a,Nicole.Hamre_UWA,4/24/2022 3:48:03 AM,Nicole.Hamre_UWA,4/24/2022 3:48:03 AM,121.9030057,-33.86555197
c8e4bedc-bbe8-45a9-b6a6-d7d26f561b24,Boat,4/24/2022 4:40:12 AM,Squidding,Lure,6:00,7:00,5,4,3,0,Squid,EndOfDay,BeachLitter,No,Arrived on 23 stayed on mooring,757a17e4-6e20-44cd-a7b7-078e1140c413,Nicole.Hamre_UWA,4/25/2022 4:41:53 AM,Nicole.Hamre_UWA,4/25/2022 5:05:30 AM,122.1095145,-33.98915348
c8e4bedc-bbe8-45a9-b6a6-d7d26f561b24,Boat,4/24/2022 5:02:49 AM,Squidding,Lure,10:30,11:30,8,6,2,0,Squid,ActivityChange,No,No,,7fcc183b-428b-403f-b34f-caaf65bc427e,Nicole.Hamre_UWA,4/25/2022 5:03:32 AM,Nicole.Hamre_UWA,4/25/2022 5:03:32 AM,122.1080637,-34.00191437
c8e4bedc-bbe8-45a9-b6a6-d7d26f561b24,Boat,4/24/2022 5:05:47 AM,Squidding,Lure,12:00,13:00,6,3,0,0,Squid,EndOfDay,No,No,,0b6753c4-6574-41fd-abab-4bf0a7c392dc,Nicole.Hamre_UWA,4/25/2022 5:06:21 AM,Nicole.Hamre_UWA,4/25/2022 5:06:21 AM,122.2444986,-33.99876097
0a75c3ab-08d8-493e-9777-2a75718f2d3a,Boat,,Trolling,Lure,9:00,9:30,0,0,0,0,,LowCatch,No,No,,159f141d-df4d-4aa6-83ab-a44a93bd839a,Nicole.Hamre_UWA,4/25/2022 5:53:51 AM,Nicole.Hamre_UWA,4/25/2022 5:53:51 AM,121.9984079,-33.91305855
0a75c3ab-08d8-493e-9777-2a75718f2d3a,Boat,,Squidding,Lure,10:00,12:30,16,2,12,0,"Harlequin, herring",EndOfDay,No,No,,2f15b46d-18a3-4f46-b64a-fad3aabccbb9,Nicole.Hamre_UWA,4/25/2022 5:55:39 AM,Nicole.Hamre_UWA,4/25/2022 5:55:39 AM,122.0005156,-34.03561752
85703500-8453-46c4-99a4-1ae3decc4a3f,Boat,,Spearing,NA,8:45,12:30,14,10,0,0,"Queenie, hardline, snook, sweep, boar fish ",EndOfDay,No,No,,1b37b087-2de7-4ea4-8bef-37bb501f2851,Nicole.Hamre_UWA,4/25/2022 6:30:00 AM,Nicole.Hamre_UWA,4/25/2022 6:30:00 AM,122.0874713,-34.01587573
ca5f587e-76e4-498e-ab83-0a6c1cdc6ee5,Boat,,Demersal,Bait,8:30,13:00,70,12,6,0,"Nanny, black arse, swallowtail, queenie, king fish",EndOfDay,No,No,,de0003bb-6bf2-49fc-9af2-ccbff213b9eb,Nicole.Hamre_UWA,4/25/2022 6:46:35 AM,Nicole.Hamre_UWA,4/25/2022 6:46:35 AM,121.7743828,-34.13094606
264dca1b-824f-4bfb-93ed-471b58aca0be,Boat,,Demersal,Bait,8:30,13:00,46,1,15,0,Queen snapper,EndOfDay,No,No,Mako shark tried to catch queen snapper they kept,fcaed76d-7c15-4129-bc29-af43972277a5,Nicole.Hamre_UWA,4/25/2022 6:54:49 AM,Nicole.Hamre_UWA,4/25/2022 6:56:49 AM,121.9945736,-34.02140814
dca1e2b4-0f7f-4e3d-b856-72e69f063c23,Boat,,Demersal,Bait,6:30,9:45,46,1,5,0,Breaksea1,EndOfDay,No,No,,bc43acfb-7bfc-45d7-80c5-ad4c5cdae363,Nicole.Hamre_UWA,4/21/2022 1:33:14 AM,Nicole.Hamre_UWA,4/21/2022 1:34:09 AM,121.8886845,-33.92903543
855f0abc-69d4-4cdc-95b9-62c61f3d9944,Boat,,Trolling,Bait,8:00,10:30,0,1,0,0,Yellow fin tuna,ActivityChange,No,No,,b846e57e-274c-4724-89e6-a96c34ef4c77,Nicole.Hamre_UWA,4/23/2022 3:06:20 AM,Nicole.Hamre_UWA,4/23/2022 3:06:20 AM,121.9052828,-33.92482248
855f0abc-69d4-4cdc-95b9-62c61f3d9944,Boat,,Casting,Lure,10:30,11:00,0,1,1,0,Squid,EndOfDay,No,No,,c1433c2a-4761-4442-8101-27c4187388e8,Nicole.Hamre_UWA,4/23/2022 3:07:13 AM,Nicole.Hamre_UWA,4/23/2022 3:07:13 AM,121.9017037,-33.86608591
ed839688-edf8-4880-98a4-7b4c8d355496,Boat,,Demersal,Bait,8:00,10:00,55,5,3,0,"2harelquin, 1 black arse, 1 queenie, western blue devil",EndOfDay,No,No,,1c6ed508-4353-4deb-8b88-799aa1c3fe07,Nicole.Hamre_UWA,4/23/2022 3:12:08 AM,Nicole.Hamre_UWA,4/23/2022 3:12:08 AM,121.9538543,-34.04092822
ef798543-ba4c-4748-aed6-838b31d9034b,Boat,,Demersal,Lure,9:30,10:00,18,0,20,0,,ActivityChange,No,No,,f59bdeb2-15be-45a4-a4d0-9317be7acb0a,Nicole.Hamre_UWA,4/23/2022 3:23:45 AM,Nicole.Hamre_UWA,4/23/2022 3:23:45 AM,121.8893258,-33.90899669
6cda72e2-3fe1-43ae-b55f-1b3f2e875187,Boat,,Trolling,Lure,7:30,10:30,3,12,24,0,"Herring, ",ActivityChange,No,,,ea8daff7-c0eb-4408-9a58-29f8a0102ba8,Nicole.Hamre_UWA,4/24/2022 2:41:32 AM,Nicole.Hamre_UWA,4/24/2022 2:41:32 AM,122.0220035,-33.87920863
40378532-8984-4589-be89-8707e6ee6f10,Boat,,Demersal,Bait,7:00,9:00,30,2,1,0,"Sandbo, black ass",Explore,No,,,46e01f20-54fd-420c-9b71-f5ba6510454f,Nicole.Hamre_UWA,4/24/2022 4:10:20 AM,Nicole.Hamre_UWA,4/24/2022 4:10:20 AM,122.1758303,-34.02790819
40378532-8984-4589-be89-8707e6ee6f10,Boat,,Trolling,Lure,9:00,10:45,3,0,0,0,,EndOfDay,No,,,74628c9d-c06d-4895-954c-3ef6e69ff60c,Nicole.Hamre_UWA,4/24/2022 4:11:11 AM,Nicole.Hamre_UWA,4/24/2022 4:11:11 AM,122.0348773,-33.94080003
3f124f53-c96d-46bc-b609-fbc432239587,Boat,,Casting,Bait,9:00,12:00,18,4,0,0,"Green cod, red wrass ",ActivityChange,No,,,fe241e2a-7fbe-4096-acef-e1e5f8b6b2c3,Nicole.Hamre_UWA,4/24/2022 4:29:35 AM,Nicole.Hamre_UWA,4/24/2022 4:29:35 AM,121.9613311,-33.85452331
893c4caa-555a-48af-a8f2-748ceb77b8f8,Boat,,Demersal,Bait,7:00,11:15,55,5,0,0,"Black ass, bronzie shark",Weather,No,,,87b723bf-d0e8-42ae-b138-5bda06abdb54,Nicole.Hamre_UWA,4/24/2022 4:47:35 AM,Nicole.Hamre_UWA,4/24/2022 4:47:35 AM,121.6722746,-33.87603385
1c7ae422-e9ed-4be2-8497-738fc10d348a,Boat,,Demersal,Bait,7:00,10:00,80,11,10,0,"Nanny, black ass ",EndOfDay,No,,,709ffb7b-1fdf-4665-a26d-bb42ea6df130,Nicole.Hamre_UWA,4/24/2022 4:57:59 AM,Nicole.Hamre_UWA,4/24/2022 4:57:59 AM,121.7770769,-34.13129894
d1add4ed-41f0-4cb1-bda5-08e60773486d,Boat,,Demersal,Bait,9:00,12:00,61,21,15,0,"Nanny, black ass, pink snapper ",Weather,No,,,5c3fead6-0b76-44fc-b227-b22293220dde,Nicole.Hamre_UWA,4/24/2022 5:12:00 AM,Nicole.Hamre_UWA,4/24/2022 5:12:00 AM,121.8269428,-33.91741052
