OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",x,y
16,b1c70484-6603-4d98-a5a6-49eefcb6fbde,Boat,1/22/2022 6:54:25 AM,Casting,Bait,04:45,06:00,55,0,1,0,,Weather,,d5c2d43f-4648-4d82-99b1-e96ca29e4500,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.898905657049,-34.0312952955444
17,b1c70484-6603-4d98-a5a6-49eefcb6fbde,Boat,1/22/2022 6:57:50 AM,Casting,Bait,06:30,11:00,50,0,0,0,0,Weather,,3d49d3d9-1298-46d4-af88-590f5ad01279,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.024507848546,-33.9231781718617
18,5c97bb53-87ba-4bb2-b165-c7d919d44655,Boat,1/23/2022 2:13:18 AM,Demersal,Both,04:30,09:00,45,9,6,0,Naniigue,LowCatch,,36354998-1920-4cf5-b158-7434a3b4e7b2,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.238631482513,-34.0352034035812
19,5c97bb53-87ba-4bb2-b165-c7d919d44655,Boat,1/23/2022 2:16:09 AM,Trolling,Both,09:00,10:00,30,0,0,0,,Weather,,cf0b9554-6d89-4188-8b6d-2648be9af20f,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.244896247965,-34.0297296181092
20,ed8bee0f-b535-4255-9e07-2a0a2cdc5650,Boat,1/23/2022 4:05:12 AM,Casting,Bait,11:00,12:00,8,0,0,0,,ActivityChange,,ea26cedc-2091-4398-807d-57889022d4ce,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.900625406202,-33.8663206668309
21,f850b07d-d08a-4597-8836-07cf3612057b,Boat,1/23/2022 4:37:42 AM,Casting,Bait,10:00,12:00,15,3,4,0,"Black ark break sea cod, ",Weather,,286690c9-131d-4f8e-b246-6fcd3d8d1bc6,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.902737804474,-33.9182448469226
22,1d84e23c-1c4a-468a-b00e-1099cc37d9b9,Boat,1/22/2022 4:49:22 AM,Spearing,Bait,07:30,19:00,12,3,0,0,"Abalone, harlequin, queen snapper",EndOfDay,"Thinks shark culls in recreational areas, they also swam throughout the day ",5ede66fb-050e-4dfd-a869-06a502c442d5,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.110308911163,-33.9914785195968
23,8ef85227-8aa8-41ec-b017-40cf8c1516cd,Boat,1/23/2022 5:11:03 AM,Casting,Bait,04:30,12:30,40,7,10,0,"Harlequin, rake sea cod, nanniguie ",Weather,,be132fa8-156d-4c62-b11a-f4e2e23128c4,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.009084049104,-33.9745238627312
24,27d42d98-c39d-4243-b705-15f8ee4f34f9,Boat,,Demersal,Bait,06:15,07:15,20,0,2,0,0,Explore,,ed66fd40-bc30-4caa-99e5-bef2038e73fe,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.996181293354,-33.8529186129928
25,27d42d98-c39d-4243-b705-15f8ee4f34f9,Boat,,Demersal,Bait,07:30,08:00,30,0,0,0,,Weather,,8dfc06d6-738b-4067-99c3-6b2f4dfa736d,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.987983725313,-33.8998633464278
