OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,Did anything detract from the experience you had at this site?,"If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?",x,y
44,e18ffbd2-e2d8-43e7-99d0-9f27a0fafb65,Boat,,Demersal,Bait,06:30,10:30,40,9,1,0,"Break sea cod, nannygui, harlequin, queenside, ",EndOfDay,,3cae9f6a-07cb-427b-8930-6c61857800ab,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.008138173416,-34.0432623128866
45,0bf88168-0b51-4c04-a5df-1de4806b8999,Boat,,Demersal,Bait,05:30,11:00,70,9,10,0,"Breaks sea, nannagi, blue grouper",Weather,,c70376f9-3d98-4526-a731-cc2b2f09e2ab,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.997422023068,-34.0861923188233
46,f25d9cf6-3f24-4f14-bbcd-2dbcce33b748,Boat,,Demersal,Both,09:30,10:00,42,3,1,0,"Queen snapper, western blue devil, break sea cod",EndOfDay,,2b168b5f-0a58-447f-8cea-ee54c0b33bbf,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.964016341156,-34.0295265046108
47,a8fad5c3-1e10-4509-a0c6-cdfa3cdb488d,Boat,1/23/2022 1:38:47 AM,Casting,Bait,05:00,12:00,35,6,7,0,"Black ass, harlequin, wolf cod",Weather,,113713ca-d1eb-47cc-82fb-c7f1734cbb62,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.596467349495,-33.9250878900689
48,83ac31e8-784c-47c0-b795-092ea40248e9,Shore,2/1/2022 3:08:39 AM,Demersal,Bait,18:00,23:00,10,4,0,0,Skippy,Necessity,,13f2b930-ff5f-4295-ab26-05ada46d1600,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.359177327669,-33.9146502281205
49,2f09f756-a353-4e72-9f94-435e303d7730,Boat,,Demersal,Bait,05:00,10:00,20,0,15,0,,Weather,Targeting whiting,65b071f7-3844-4f53-bd41-dbba6aad2fdd,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.019782861967,-33.8761683043474
50,d3f8d55d-3738-4225-9b21-28e068eff9f6,Boat,,Casting,Lure,10:50,11:40,15,0,2,0,,Weather,,dd6b4fa1-0a70-4096-88e6-ef334b63043f,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,Conditions,,121.96426369227,-33.8530694537266
51,62e5375b-d061-479f-b581-3c73fd465483,Boat,,Demersal,Bait,08:00,11:30,72,7,4,0,"Nannagai, breakdea cod",Weather,,98de119c-fdc0-4d94-b9e6-8b7f34996f3f,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,Conditions,,121.833972330922,-34.244848592575
52,e69fb4ce-15f4-42df-b15f-104d24e102fd,Boat,,Trolling,Bait,10:30,11:30,4,4,5,0,Rock cod,Explore,,23e6c5e7-648c-4032-bf8c-c3c421fb1d0a,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.588592034097,-33.931841247587
53,e69fb4ce-15f4-42df-b15f-104d24e102fd,Boat,,Squidding,Lure,11:30,11:50,3,2,0,0,Squid,Necessity,,e7e1966e-dc50-4207-b383-da57d1d7c401,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.582392702829,-33.92325562365
54,58875847-f392-4ccb-a35c-d050a4772a99,Boat,,Demersal,Bait,09:30,12:15,12,6,7,0,"Herring, whiting",Necessity,Sea sickness,d855a05b-8475-4b4f-9a64-fe70e0d375a2,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,Other,,122.592113271907,-33.9219429432901
55,ef1ba608-26c6-4519-9b90-222d46b3b213,Boat,,Trolling,Lure,06.30,08:00,3,3,4,0,Herring,ActivityChange,,becb6592-914f-4f27-b15e-a751f071ada4,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.908377206842,-33.8653849465988
56,f21004a8-9ac1-425c-8308-53ec87c6c32f,Boat,,Casting,Bait,08:30,10:20,40,0,15,0,"Roc cod, Herron",ActivityChange,,7c036710-81c2-48f1-b136-6a7d797fa1da,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.944150024986,-33.8661965239291
57,f3880ed3-a4ea-4797-ac02-1f119ce18fab,Boat,,Casting,Bait,09:30,11:00,15,0,0,0,,Weather,,4caaa77f-6109-4433-9062-7f7232486e6e,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.963056544276,-33.8550805957826
58,2ed390d3-7607-4408-a22e-6c04c6ddcfa2,Boat,,Trolling,Lure,9:00,10:00,30,0,2,0,,Explore,,03403f58-2993-4339-a14c-30dfb122b0ad,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.047349680483,-33.974109252516
59,2ed390d3-7607-4408-a22e-6c04c6ddcfa2,Boat,,Trolling,Lure,9:30,10:30,20,0,2,0,,EndOfDay,,c10a2852-f6c1-411f-965c-ac0a39f0f434,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.002021472781,-34.0518292300819
60,92645370-848a-4e6d-a542-2393e7ef0a34,Boat,,Casting,Lure,07:30,10:30,40,4,6,0,"Break sea CD, harlequin, tuna ",EndOfDay,Jigging ,f5d236ee-07e9-41a1-b7b0-16d2600ae0ee,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.221932400558,-34.1329996391266
61,e2e76373-85b8-48e9-a054-04fa6b457658,Boat,,Casting,Bait,05:30,11:00,30,0,12,0,,Weather,,48213236-27c9-40e1-a262-903b0da1e997,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.794103205862,-33.9099666454412
62,be8a3801-d779-4c30-b1dd-24c6590bab15,Boat,,Casting,Bait,08:20,11:45,23,15,15,1,Whiting ,Weather,"Sea sickness, ",99344c64-3864-4484-a7b7-f160a83ec55c,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,Conditions,,121.89892337542,-33.8909370418583
63,97586454-4fd6-452b-a16b-87203e01e829,Boat,,Trolling,Lure,08:30,09:30,24,0,0,0,,Explore,,81e3c235-22cd-4f92-9648-ea33d4c08246,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.006442084091,-34.0334604481554
64,97586454-4fd6-452b-a16b-87203e01e829,Boat,,Demersal,Bait,10:00,10:45,25,0,2,0,,Explore,,1741ebed-e6b8-4ffa-9a2a-97cd02c7e7d0,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.969091113741,-34.0187487023433
65,97586454-4fd6-452b-a16b-87203e01e829,Boat,,Demersal,Bait,11:00,11:30,25,0,5,0,,EndOfDay,,868c507a-81f8-49f0-b3ed-0b8fcd653da4,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.017998016397,-33.9552514643364
66,443c5b72-922d-489e-9b6b-323f1cf6b92d,Boat,,Trolling,Lure,08:30,09:00,2,0,0,0,,LowCatch,,319fba48-446c-4079-b582-d717e35fb4ab,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.902414649025,-33.9181602394402
67,443c5b72-922d-489e-9b6b-323f1cf6b92d,Boat,,Casting,Bait,09:30,11:00,11,4,3,0,Herring,Weather,,a08d4f92-a959-42f4-b88b-5f3189b4cb69,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.855746132461,-33.8890662927263
68,fcedcde4-5035-49e4-abdb-aee8f3cdf541,Boat,,Trolling,Lure,08:00,09:00,5,0,0,0,,Explore,,90bfd2a4-e427-45b7-8930-624913bb379c,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.002831539368,-34.0464593214288
69,fcedcde4-5035-49e4-abdb-aee8f3cdf541,Boat,,Demersal,Bait,09:30,12:00,20,0,15,0,,Weather,,1cf4f421-4158-40b4-aada-29430f93a398,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.0470904761,-33.9644249753867
70,da74e667-bb5f-4409-ba2c-9c3f043fa2f8,Boat,,Casting,Bait,04:30,12:00,50,2,5,0,Blue fin tuna ,Weather,,73c79657-66ed-4746-abb5-72555a35aeac,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,121.887053038154,-33.9168055347177
71,88ae9399-037e-41e0-a7d7-5970e27d8280,Boat,,Trolling,Lure,07:00,08:30,3,0,0,0,,Weather,,d8baeeb2-b54a-48a9-a503-8b98d79ca240,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,Conditions,,121.905240388685,-33.9181679802329
72,88ae9399-037e-41e0-a7d7-5970e27d8280,Boat,,Trolling,Lure,09:00,11:00,3,5,2,0,Blue fin tuna ,ActivityChange,,3d20668f-f2c1-4746-9e0d-9971614608e8,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.022944230183,-33.8791346300025
73,88ae9399-037e-41e0-a7d7-5970e27d8280,Boat,,Demersal,Lure,11:00,12:00,25,1,2,0,Harlequin,ActivityChange,,e6c7da05-1db8-4415-8857-c352be50ba6d,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,,,122.013731575753,-33.9679144758201
