GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you done this survey recently? ,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Are you a Traditional Owner of the region?,x,y
88780BB7-D3CD-474A-8A17-F5540F5EFF05,NA,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,20/1/22,Nicole.Hamre_UWA,20/1/22,NA,NA,121.9316332,-33.83318872
5598B27D-78B7-4155-8248-6EA143F2D96E,NA,EH,EsperanceBR,Yes,No,Yes,No,4,Yes,1,0,1,Nicole.Hamre_UWA,20/1/22,Nicole.Hamre_UWA,20/1/22,NA,NA,121.8942138,-33.86448858
16A592B9-B766-4033-9B88-4B4D26CC2052,NA,NSH,BandyCreekBR,Yes,No,Yes,No,10,Yes,2,8,1,Nicole.Hamre_UWA,21/1/22,Nicole.Hamre_UWA,21/1/22,NA,NA,121.9312591,-33.83315655
BB2D0CA0-D8BA-4F21-866F-56AC5BFFAF8C,NA,NSH,BandyCreekBR,Yes,No,Yes,No,7,Yes,3,3,0,Nicole.Hamre_UWA,21/1/22,Nicole.Hamre_UWA,21/1/22,NA,NA,121.9313786,-33.83305092
501E1D61-2B4A-4DE3-A678-D2B49F194587,NA,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,21/1/22,Nicole.Hamre_UWA,21/1/22,NA,NA,121.9315204,-33.8330535
C06C5453-0167-4963-A346-01E85FCC898F,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,21/1/22,Nicole.Hamre_UWA,21/1/22,NA,NA,121.8939746,-33.86552538
B2F19E9F-6083-46DC-9427-D3481F8723E0,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8939746,-33.86552538
974D0FAF-1D97-467D-8888-96856BC06FA8,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8939746,-33.86552538
E876EE75-BF58-472F-B8DF-23CE1B733239,NA,NSH,EsperanceBR,Yes,No,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8939746,-33.86552538
09ABA671-9AAF-4D6D-AF23-CFCBC3DF4BB7,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8940156,-33.8638078
DD9A53F2-5E50-4595-B520-1EEE6DBBA0E5,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8942138,-33.86448858
C3CC11AE-3809-4500-8943-37881670135A,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8939272,-33.86433855
046D21A2-3A21-47CE-851F-31C1F0F59EE4,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8941462,-33.86453464
42027B7B-D2BB-46EE-BA54-05FB2D203A52,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8939836,-33.86548919
3AB81EEC-BDEB-41FE-8372-C88300E0E048,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8942435,-33.86456572
D0591308-4E94-42F8-BAEA-12B0C6402E42,NA,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,22/1/22,Nicole.Hamre_UWA,22/1/22,NA,NA,121.8942124,-33.86456969
6471CE97-77B6-4B12-8BEC-2F677699CE16,NA,NSH,LuckyBay,Yes,No,Yes,No,10,Yes,5,10,0,Nicole.Hamre_UWA,23/1/22,Nicole.Hamre_UWA,23/1/22,NA,NA,122.2213127,-33.99216712
E18FFBD2-E2D8-43E7-99D0-9F27A0FAFB65,NA,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,23/1/22,Nicole.Hamre_UWA,23/1/22,NA,NA,121.9313538,-33.83334531
0BF88168-0B51-4C04-A5DF-1DE4806B8999,NA,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,23/1/22,Nicole.Hamre_UWA,23/1/22,NA,NA,121.9315478,-33.8328049
DB2D8DC4-07FE-4482-BFE9-135B73BAF206,NA,NSH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,23/1/22,Nicole.Hamre_UWA,23/1/22,NA,NA,121.9313538,-33.83334531
F25D9CF6-3F24-4F14-BBCD-2DBCCE33B748,NA,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,23/1/22,Nicole.Hamre_UWA,23/1/22,NA,NA,121.9313784,-33.83339478
D094761C-9806-4A93-97C8-9FCC54E38122,NA,NSH,BandyCreekBR,Yes,Yes,No,No,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,23/1/22,Nicole.Hamre_UWA,23/1/22,NA,NA,121.9314684,-33.83352642
A8FAD5C3-1E10-4509-A0C6-CDFA3CDB488D,NA,EH,BandyCreekBR,Yes,No,Yes,Yes,7,Yes,4,7,3,Nicole.Hamre_UWA,24/1/22,Nicole.Hamre_UWA,24/1/22,NA,NA,121.9308513,-33.83329136
83AC31E8-784C-47C0-B795-092EA40248E9,NA,CLA,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,6,4,6,Nicole.Hamre_UWA,1/2/22,Nicole.Hamre_UWA,1/2/22,NA,NA,122.3586822,-33.91502208
FB4EFAA5-65C6-4732-A5E2-07D48FA2B980,NA,EH,EsperanceBR,Yes,No,NE,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,16/2/22,Nicole.Hamre_UWA,16/2/22,NA,NA,121.8940863,-33.86473725
D821EE09-4F80-4AA1-BA33-4EC70B53A8BA,NA,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,16/2/22,Nicole.Hamre_UWA,16/2/22,NA,NA,121.9305453,-33.83369598
2F09F756-A353-4E72-9F94-435E303D7730,NA,NSH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,16/2/22,Nicole.Hamre_UWA,16/2/22,NA,NA,121.9314056,-33.83327061
D3F8D55D-3738-4225-9B21-28E068EFF9F6,NA,NSH,BandyCreekBR,Yes,No,Yes,No,7,Yes,1,7,0,Nicole.Hamre_UWA,16/2/22,Nicole.Hamre_UWA,16/2/22,NA,NA,121.9314684,-33.83352642
62E5375B-D061-479F-B581-3C73FD465483,NA,NSH,BandyCreekBR,Yes,No,Yes,No,14,Yes,5,7,1,Nicole.Hamre_UWA,16/2/22,Nicole.Hamre_UWA,16/2/22,NA,NA,121.9312591,-33.83315655
E69FB4CE-15F4-42DF-B15F-104D24E102FD,NA,NSH,DukeOrleans,Yes,No,Yes,Yes,5,Yes,2,All,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,122.5797083,-33.92450276
58875847-F392-4CCB-A35C-D050A4772A99,NA,NSH,DukeOrleans,Yes,No,Yes,Yes,30,Yes,4,All,0,Nicole.Hamre_UWA,17/2/22,Nicole.Hamre_UWA,17/2/22,NA,NA,122.5797292,-33.92452022
EF1BA608-26C6-4519-9B90-222D46B3B213,NA,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,18/2/22,Nicole.Hamre_UWA,18/2/22,NA,NA,121.8939065,-33.86860864
