OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number and/or name,Comments,CreationDate,Creator,EditDate,Editor,CreationDate,Creator,EditDate,Editor
12,403d13e0-a783-46c0-a8a2-9bc15c864a48,5c97bb53-87ba-4bb2-b165-c7d919d44655,20,25,None,,1982,6450,Esperance,Male,,1,,2,8,Df511,"Have been deprecated twice ever, say it’s really rare. Also concern for marine park - not sure if commercial fishers will be impacted e.g. will purse-line fishers be allowed to operate in marine parks. Said that a valuable source of info is the fishing club.",4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/23/2022 2:19:36 AM,Nicole.Hamre_UWA,1/23/2022 2:24:44 AM,Nicole.Hamre_UWA,,
13,7421eb0b-3083-451e-9163-79cf1a3ce6b7,ed8bee0f-b535-4255-9e07-2a0a2cdc5650,12,38,None,,1980,6450,Esperance,Male,1,,1,1,3,GJ315,,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/23/2022 4:08:01 AM,Nicole.Hamre_UWA,1/23/2022 4:08:01 AM,Nicole.Hamre_UWA,,
14,7600f87d-9885-4c3e-8654-0070fa5a06bc,f850b07d-d08a-4597-8836-07cf3612057b,1,30,None,,1977,6430,Esperance,Male,,1,,,3,BR445,,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/23/2022 4:40:25 AM,Nicole.Hamre_UWA,1/23/2022 4:40:25 AM,Nicole.Hamre_UWA,,
15,3374a508-29ee-478f-a876-c474edae34db,1d84e23c-1c4a-468a-b00e-1099cc37d9b9,10,35,DM,500,1977,6450,Esperance,Male,1,,2,,3,DD038,Commercial diver in the past,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/23/2022 4:54:17 AM,Nicole.Hamre_UWA,1/23/2022 4:54:17 AM,Nicole.Hamre_UWA,,
16,2e987ea1-8d67-4d8e-8066-6aae91513178,8ef85227-8aa8-41ec-b017-40cf8c1516cd,75,20,None,,1999,6450,Esperance,Male,,1,,,4,AV079,,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/23/2022 5:16:24 AM,Nicole.Hamre_UWA,1/23/2022 5:16:24 AM,Nicole.Hamre_UWA,,
17,dcb4e5b5-e496-4e5a-99f2-05b6c41a2b7f,27d42d98-c39d-4243-b705-15f8ee4f34f9,12,20,None,0,1975,6237,PinkLake,Female,0,1,0,4,4,D1507,Flat rock - 2km off Wyllie point,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/20/2022 3:21:59 AM,Nicole.Hamre_UWA,1/20/2022 3:21:59 AM,Nicole.Hamre_UWA,,
18,47f670eb-852f-40ed-bc3f-5d55cf117cce,f11653ec-00b4-43a0-9ccc-17f9c2078a2f,50,55,None,0,1963,0,Esperance,Female,0,0,0,0,6,GF954,,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/20/2022 3:35:25 AM,Nicole.Hamre_UWA,1/20/2022 3:35:25 AM,Nicole.Hamre_UWA,,
19,d9f2bc00-f269-45ca-90aa-c370f0d09ae5,f8c7b042-f471-4389-b8e4-020f1be4ce9d,30,30,I,550,1985,0,Esperance,Male,0,0,0,0,8,Dm262,Wasn’t an instructor but very experience commercial tech diver with over 5000 dives,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/20/2022 4:18:14 AM,Nicole.Hamre_UWA,1/20/2022 5:11:24 AM,Nicole.Hamre_UWA,,
20,aa44703f-39ef-48f8-9adc-5e7a600d75ff,88780bb7-d3cd-474a-8a17-f5540f5eff05,30,30,None,0,1961,0,Esperance,Male,0,0,0,0,5,GQ273,"MP is a good thing we can’t keep raping and pillaging the ocean, as a red fisher we go out for enjoyment. We’ve been told we will be consider so just have to hope that’s true.",4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/20/2022 4:32:18 AM,Nicole.Hamre_UWA,1/20/2022 4:32:18 AM,Nicole.Hamre_UWA,,
21,6a303b72-a354-406c-889c-c3faf3aad89f,5598b27d-78b7-4155-8248-6ea143f2d96e,30,30,OW,200,1980,6171,Castletown,Male,,1,,1,4,Bt632,,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,4/26/2022 7:30:14 AM,Nicole.Hamre_UWA,1/20/2022 5:05:44 AM,Nicole.Hamre_UWA,1/20/2022 5:05:44 AM,Nicole.Hamre_UWA,,
