OBJECTID,GlobalID,aGUID,How many days have you fished in the last 12 months?,How many years have you been fishing for?,"Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?",What year were you born?,What is your postcode?,"If VISITOR, where are you staying?",# Female or Male,# Number of females in party (excluding participant),# Number of males in party (excluding participant),# Number of girls in party,# Number of boys in party,# Boat Length (m),# Boat number,Comments,created_date,created_user,last_edited_date,last_edited_user
21,00000000-0000-0000-0000-000000000000,5598B27D-78B7-4155-8248-6EA143F2D96E,30,30,OW,200,1980,6171,Castletown,Male,,1,,1,4,Bt632,,20/1/22 5:05,Nicole.Hamre_UWA,20/1/22 5:05,Nicole.Hamre_UWA
22,00000000-0000-0000-0000-000000000000,16A592B9-B766-4033-9B88-4B4D26CC2052,6,40,OW,6,1979,6280,Esperance,Male,0,0,0,0,4,GJ987,,21/1/22 1:03,Nicole.Hamre_UWA,21/1/22 1:03,Nicole.Hamre_UWA
23,00000000-0000-0000-0000-000000000000,BB2D0CA0-D8BA-4F21-866F-56AC5BFFAF8C,12,30,None,0,1987,6069,Esperance,Female,0,1,2,2,5,49621/Pegasus,,21/1/22 3:13,Nicole.Hamre_UWA,21/1/22 3:13,Nicole.Hamre_UWA
24,00000000-0000-0000-0000-000000000000,501E1D61-2B4A-4DE3-A678-D2B49F194587,20,10,None,0,1992,0,Esperance,Female,0,1,0,0,3,42950,,21/1/22 3:18,Nicole.Hamre_UWA,21/1/22 3:18,Nicole.Hamre_UWA
25,00000000-0000-0000-0000-000000000000,C06C5453-0167-4963-A346-01E85FCC898F,50,45,None,0,1969,0,Esperance,Male,1,1,0,0,3,BA299,,22/1/22 0:00,Nicole.Hamre_UWA,22/1/22 0:00,Nicole.Hamre_UWA
26,00000000-0000-0000-0000-000000000000,B2F19E9F-6083-46DC-9427-D3481F8723E0,20,30,None,0,1983,0,Esperance,Male,1,0,0,0,3,BT630,,22/1/22 0:12,Nicole.Hamre_UWA,22/1/22 0:12,Nicole.Hamre_UWA
27,00000000-0000-0000-0000-000000000000,974D0FAF-1D97-467D-8888-96856BC06FA8,10,20,None,0,1989,0,Esperance,Male,0,0,0,0,3,DX354,,22/1/22 0:25,Nicole.Hamre_UWA,22/1/22 0:25,Nicole.Hamre_UWA
28,00000000-0000-0000-0000-000000000000,09ABA671-9AAF-4D6D-AF23-CFCBC3DF4BB7,50,26,None,0,1970,0,Esperance,Female,0,2,0,0,4,86310,,22/1/22 2:54,Nicole.Hamre_UWA,22/1/22 2:56,Nicole.Hamre_UWA
29,00000000-0000-0000-0000-000000000000,DD9A53F2-5E50-4595-B520-1EEE6DBBA0E5,4,40,None,0,1977,0,Esperance,Male,0,0,0,0,3,BW453,,22/1/22 3:48,Nicole.Hamre_UWA,22/1/22 3:48,Nicole.Hamre_UWA
30,00000000-0000-0000-0000-000000000000,C3CC11AE-3809-4500-8943-37881670135A,20,40,None,0,1966,6429,Esperance,Female,0,1,0,0,6,,From Kalgoorlie - have 2 holiday homes here. Fishing avidity depends how often they get down here in a year,22/1/22 3:56,Nicole.Hamre_UWA,22/1/22 3:56,Nicole.Hamre_UWA
