"","DistNearestInfra_sqrt","Month","response","se.fit"
"1",0.574696696541605,"April",6.49062756111344,3.08895600531775
"2",0.574696696541605,"August",2.35158384320463e+45,3.95524570769247e+53
"3",0.574696696541605,"July",5.96992759035714,3.85219336357498
"4",0.574696696541605,"March",18.8657554361458,76.1704655528759
"5",0.574696696541605,"October",3991915608704104448,74922105847341367296
"6",0.574696696541605,"September",32.1517931669345,23.2268631566107
"7",2.83413367477416,"April",4.89421555789465,2.29256442813502
"8",2.83413367477416,"August",82391538923077.6,1.40637833645101e+22
"9",2.83413367477416,"July",7.18785961816424,4.63287578679669
"10",2.83413367477416,"March",18.8657554361457,62.0931941796788
"11",2.83413367477416,"October",16845379946170443776,3.17221699591875e+20
"12",2.83413367477416,"September",31.9402032229103,20.827743501796
"13",5.09357065300671,"April",3.69045301824462,1.75400659970889
"14",5.09357065300671,"August",2.22044604925031e-16,3.45810737784501e-08
"15",5.09357065300671,"July",8.6537986117568,5.71309198987448
"16",5.09357065300671,"March",18.8657554361457,62.132158469111
"17",5.09357065300671,"October",2.6369193256742e+19,4.96611047863425e+20
"18",5.09357065300671,"September",20.8179505026497,13.2844107446035
"19",7.35300763123926,"April",2.78276420819646,1.3787033661647
"20",7.35300763123926,"August",2.22044604925031e-16,3.97799966874616e-08
"21",7.35300763123926,"July",10.4182838052236,7.19799583124889
"22",7.35300763123926,"March",18.8657554361458,72.3024569384377
"23",7.35300763123926,"October",19368128922878128128,3.63844232148951e+20
"24",7.35300763123926,"September",9.83736692956906,7.0986955113044
