"","DistNearestBRkm_logxplusone","facYear","response","se.fit"
"1",0.349889996108085,"2015",0.729806241062635,0.374137561566361
"2",0.349889996108085,"2016",1.50984867750991,1.11173489972066
"3",0.349889996108085,"2020",2.19614064032574,3.37823228382139
"4",0.349889996108085,"2021",2.21780370000171,1.26201873874025
"5",0.7860325007741,"2015",1.3201863472242,0.524263344395172
"6",0.7860325007741,"2016",2.16195668635629,1.26526597674186
"7",0.7860325007741,"2020",5.99435736796926,6.87604039127048
"8",0.7860325007741,"2021",3.2017680799391,1.41602619082206
"9",1.22217500544012,"2015",2.27777265683934,0.688337831696204
"10",1.22217500544012,"2016",3.03212287930506,1.3973363656304
"11",1.22217500544012,"2020",15.0873252545696,12.176617763975
"12",1.22217500544012,"2021",4.55440810105039,1.53460423574794
"13",1.65831751010613,"2015",3.5750363428984,0.859736126691949
"14",1.65831751010613,"2016",4.07961416866211,1.53833977724594
"15",1.65831751010613,"2020",32.2891159995385,18.2566490448117
"16",1.65831751010613,"2021",6.28962318701376,1.68342338163621
"17",2.09446001477215,"2015",4.86847527372705,1.04757544654315
"18",2.09446001477215,"2016",5.15762917002022,1.7359225463248
"19",2.09446001477215,"2020",54.1828041445337,24.9661594979556
"20",2.09446001477215,"2021",8.30889420162434,1.99424420180241
"21",2.53060251943816,"2015",5.48649985118587,1.14930590715002
"22",2.53060251943816,"2016",6.00103426022728,1.92510284539445
"23",2.53060251943816,"2020",65.7378293855775,30.0806627682153
"24",2.53060251943816,"2021",10.3457755848783,2.4442225294795
"25",2.96674502410418,"2015",4.93963168858451,1.01478333698986
"26",2.96674502410418,"2016",6.32761354381025,1.93963556774788
"27",2.96674502410418,"2020",54.2895158381779,26.0852355190469
"28",2.96674502410418,"2021",12.0089074130499,2.78475857264542
"29",3.40288752877019,"2015",3.6847595791881,0.788519903303133
"30",3.40288752877019,"2016",6.14368904666899,1.84082381602911
"31",3.40288752877019,"2020",32.4836989060834,17.8723920595753
"32",3.40288752877019,"2021",13.1434516532186,2.9781353572352
"33",3.83903003343621,"2015",2.42468817216703,0.616205974521522
"34",3.83903003343621,"2016",5.64586442530321,1.82652527098361
"35",3.83903003343621,"2020",15.6781436625098,11.1510894234776
"36",3.83903003343621,"2021",13.832121165785,3.27935207327362
"37",4.27517253810223,"2015",1.49854126241058,0.485089900717313
"38",4.27517253810223,"2016",5.04763140274257,1.93965951460787
"39",4.27517253810223,"2020",6.7961605637327,6.43649866331004
"40",4.27517253810223,"2021",14.2743008472201,3.89848412281229
