,GlobalID.y,GlobalID.x,OBJECTID.x,Date,CreationDate.x,EditDate.x,,Interviewer,Transect,Access,ScreenOne,ScreenTwo,Agreement,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,DaysOnShore_Other,TimesInTwenty,TimesInNineteen,TimesInNineteen_Other,Covid,x.x,y.x,MetaComments,OBJECTID.y,Comments,CreationDate.y,EditDate.y,EXTRACTIVE SURVEY,"If RECALL, date",What type of fishing did you do at this site?,"If OTHER, fishing type",Did you use a bait or lure?,What time did you (if spearfishing)/ your lines get in the water?,What time did you (if spearfishing)/your lines get out the water??,Max depth of hook at this site?,# fish you kept undamaged at this site?,"If OTHER, # kept undamaged",# released undamaged at this site?,"If OTHER, # released undamaged",# depredated,"If OTHER, # depredated",What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,"If RECALL, date_1",What activity did you do?,,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?_1,"If OTHER, why did you leave this site?_1",x.y,y.y,OBJECTID,GlobalID.y.y,CreationDate,EditDate,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY,Male or Female,Describe party,Boat length,Boat Type,Boat name or number,SurveyType ,SurveyType_two,Shift
276,NA,09f8d610-b9cb-4cb8-bfa2-fb8064a4397a,115,9/30/2020 8:17:25 AM,9/30/2020 8:18:29 AM,9/30/2020 8:18:29 AM,Afternoon,Gabby,Bundegi,Janz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.0733101,-21.82720647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
288,NA,4112ea2d-6112-4f20-9572-6b7821dfbe5b,88,9/27/2020 8:44:48 AM,9/27/2020 8:47:34 AM,9/27/2020 8:47:34 AM,Afternoon,Nicole,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.770282,-23.14227553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
279,NA,835c9bce-90ab-44a0-8889-7ba93f012aeb,90,9/27/2020 8:53:04 AM,9/27/2020 8:54:09 AM,9/27/2020 8:54:09 AM,Afternoon,Nicole,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7708156,-23.14202855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
280,NA,349fa612-10d4-4b01-a8b4-5425da6a8659,91,9/27/2020 8:54:26 AM,9/27/2020 8:55:29 AM,9/27/2020 8:55:29 AM,Afternoon,Nicole,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7705713,-23.14217993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
297,NA,843b31b7-73dd-4fde-957a-5b2568146145,81,9/27/2020 9:13:27 AM,9/27/2020 9:15:39 AM,9/27/2020 9:33:36 AM,Afternoon,Sam,CoralBay,Bills Bay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7686056,-23.14237204,Language barrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
275,NA,0599c3ce-2178-4784-b409-caa175e98cce,146,10/01/2020,10/01/2020 09:12,10/01/2020 09:12,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,Yes,All,All,NA,0,0,NA,No,114.1708313,-21.83596011,Change of mind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
274,NA,5fc14bfd-8442-4487-85c0-1f4d577addcc,142,10/01/2020,10/01/2020 08:15,10/01/2020 08:15,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1708975,-21.8355016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
286,NA,27e5f630-50cf-42b5-b097-93a42cf8ec3f,138,10/01/2020,10/01/2020 07:54,10/01/2020 07:54,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1704376,-21.83612244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
304,NA,4082620c-5b0b-463c-a26b-9a3e64d2f215,133,10/01/2020,10/01/2020 07:27,10/01/2020 07:27,Afternoon,Gabby,Bundegi,BunBR,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1699905,-21.83595092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
313,NA,8646b0f4-469f-431c-98fc-1a688ba3c830,136,10/01/2020,10/01/2020 07:37,10/01/2020 07:37,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1709009,-21.83533594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
314,NA,89acb2bb-0a3b-4e6a-9579-1a9b3e367351,134,10/01/2020,10/01/2020 07:29,10/01/2020 07:29,Afternoon,Gabby,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1710945,-21.83516963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
295,NA,ba93130d-dbe1-4870-ab22-9f174d07ea1b,188,9/29/2020 9:17:41 AM,9/29/2020 9:19:10 AM,9/29/2020 9:19:10 AM,Afternoon,Sam,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1703595,-21.83572353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
301,NA,bba9b278-2099-4ff4-8f30-a8485ede786c,245,9/30/2020 8:08:43 AM,9/30/2020 8:10:23 AM,9/30/2020 8:10:23 AM,Afternoon,Nicole,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1732332,-21.83075742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
316,NA,56f778c7-19bd-4760-8dcb-76ff45456b48,249,9/30/2020 8:32:23 AM,9/30/2020 8:33:43 AM,9/30/2020 8:33:43 AM,Afternoon,Nicole,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1732527,-21.83075256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
318,NA,b1ab1a0e-d1ba-4c67-9c8f-c6bbfe0dbbe4,250,9/30/2020 8:35:12 AM,9/30/2020 8:38:21 AM,9/30/2020 8:38:21 AM,Afternoon,Nicole,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1732519,-21.83074397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
317,NA,e743cb5b-9a59-4d45-beb2-e17b632ccf15,254,9/30/2020 9:13:27 AM,9/30/2020 9:23:23 AM,9/30/2020 9:23:23 AM,Afternoon,Nicole,Bundegi,BunBR,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.173284,-21.83078843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
320,NA,c3609f74-52f7-447d-bbb3-b13fab007401,255,9/30/2020 9:40:12 AM,9/30/2020 9:42:16 AM,9/30/2020 9:42:16 AM,Afternoon,Nicole,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1732621,-21.83077263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
312,NA,b623d1ee-5cdd-4704-82a5-c36eb7c014b5,256,9/30/2020 9:42:24 AM,9/30/2020 9:45:10 AM,9/30/2020 9:45:10 AM,Afternoon,Nicole,Bundegi,BunBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1732471,-21.830771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
285,NA,1e6c3ec6-31d9-46a7-951a-1a380821eb97,101,9/28/2020 3:26:35 AM,9/28/2020 3:27:51 AM,9/28/2020 3:27:51 AM,Morning,Nicole,CoralBay,CBBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7678187,-23.15540391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Morning
311,NA,eee1f15d-9732-445b-81a2-45ab940ade59,102,9/28/2020 3:34:16 AM,9/28/2020 3:37:20 AM,9/28/2020 3:37:20 AM,Morning,Nicole,CoralBay,CBBR,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7677563,-23.15552142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Morning
302,NA,d0cfde8c-9b9f-4ac2-b40a-87dd37400a7e,221,10/02/2020,10/02/2020 09:25,10/02/2020 09:25,Afternoon,Gabby,Exmouth,ExBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1384883,-21.95476698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
293,NA,9a26e6ca-ede5-46c7-944a-9d38caeb3f7b,289,10/03/2020,10/03/2020 02:17,10/03/2020 02:18,Morning,Nicole,Exmouth,ExBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1392651,-21.95574379,They didn't think they would be any help,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Morning
281,NA,147c243d-e51f-4e1f-a006-40973c628e97,49,9/26/2020 7:32:41 AM,9/26/2020 7:33:13 AM,9/26/2020 7:33:13 AM,Afternoon,Nicole,Exmouth,ExBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1379659,-21.95598731,Language barrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
305,NA,f9a9cbb4-66f4-47ff-9066-7eaedd9c8372,51,9/26/2020 8:09:30 AM,9/26/2020 8:09:48 AM,9/26/2020 8:09:48 AM,Afternoon,Nicole,Exmouth,ExBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1392708,-21.95595393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
308,NA,b3202820-e9a7-4711-aab3-b438bf91275c,55,9/26/2020 9:30:07 AM,9/26/2020 9:31:03 AM,9/26/2020 9:31:03 AM,Afternoon,Nicole,Exmouth,ExBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1388754,-21.95528685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
282,NA,899b9c10-6851-4694-8803-4f799874aaa9,57,9/26/2020 9:45:19 AM,9/26/2020 9:46:26 AM,9/26/2020 9:46:26 AM,Afternoon,Nicole,Exmouth,ExBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1382657,-21.95510103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Afternoon
287,NA,1f045bb1-f2ac-437c-9496-968024f37a9c,164,10/04/2020,10/04/2020 03:09,10/04/2020 03:09,Morning,Gabby,Bundegi,Hunters,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1083651,-21.80431156,"Family, we have interviewed before. 2 adults 2 kids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Morning
310,NA,9d619f17-7ff6-4ea4-8c69-8c9ef64ad86c,294,10/04/2020,10/04/2020 03:03,10/04/2020 03:03,Morning,Nicole,Bundegi,Hunters,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1084334,-21.80293566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Morning
319,NA,f34716d4-d63f-40e1-8ec0-01e28b366c6e,295,10/04/2020,10/04/2020 03:05,10/04/2020 03:05,Morning,Nicole,Bundegi,Hunters,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1085442,-21.80286136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Morning
289,NA,810d899e-1dd9-4af3-a1c3-eb23ba1ea6d3,114,9/30/2020 8:14:29 AM,9/30/2020 8:17:04 AM,9/30/2020 8:17:04 AM,Afternoon,Gabby,Bundegi,Janz,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.0724954,-21.82774863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
303,NA,3e5e5314-e449-48ad-b3d4-280545b797ee,201,9/30/2020 8:23:07 AM,9/30/2020 8:23:37 AM,9/30/2020 8:23:37 AM,Afternoon,Sam,Bundegi,Janz,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.0727345,-21.82757828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
290,NA,732680f7-16f2-4f3d-b038-dbe61cf69fb4,232,10/04/2020,10/04/2020 06:16,10/04/2020 06:16,Afternoon,Sam,Tantabiddi,KoriBay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.9179809,-22.02986739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
278,NA,4fd3e742-481e-414a-b8f7-d206cc8de65b,167,10/04/2020,10/04/2020 06:50,10/04/2020 06:51,Afternoon,Gabby,Tantabiddi,LakesideSnorkling,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.9140199,-22.03476605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
298,NA,542118aa-6d1a-4cef-ae24-1b5a91cbf180,302,10/04/2020,10/04/2020 06:50,10/04/2020 06:50,Afternoon,Nicole,Tantabiddi,LakesideSnorkling,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.9116886,-22.03738026,Language barrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
296,NA,a20d68ef-8d4f-4e57-9f70-b68760580506,229,10/04/2020,10/04/2020 02:30,10/04/2020 02:30,Afternoon,Sam,Bundegi,LHeast,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.1246502,-21.80644468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Afternoon
300,NA,9680e7ad-0371-46a2-a379-c7e10a93ea78,239,9/30/2020 4:23:39 AM,9/30/2020 4:24:04 AM,9/30/2020 4:24:04 AM,Morning,Sam,Tantabiddi,SandyBay,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.84265,-22.23073812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shore,Refusal ,Morning
283,NA,3681ede7-1379-482c-856a-a3b8c3972371,127,10/01/2020,10/01/2020 03:06,10/01/2020 03:06,Morning,Sam,Tantabiddi,TantBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.9786938,-21.91240964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Morning
292,NA,e14dbf63-758f-4abd-8a44-c2f24fa651c3,124,10/01/2020,10/01/2020 02:15,10/01/2020 02:15,Morning,Sam,Tantabiddi,TantBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.9788093,-21.91259577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Morning
294,NA,643b1c9a-b37c-4a5c-93dd-4bf41070e8b8,122,10/01/2020,10/01/2020 01:54,10/01/2020 01:54,Morning,Sam,Tantabiddi,TantBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.9788179,-21.91273987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Morning
299,NA,cae857e3-189c-4f17-be2a-467f5eea4fcb,130,10/01/2020,10/01/2020 04:24,10/01/2020 04:24,Morning,Sam,Tantabiddi,TantBR,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.9785891,-21.91288292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boat,Refusal ,Morning
