OBJECTID,Guid,GlobalID,CreationDate,EditDate,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
264,38d03f86-7888-4a85-ab4c-65ac7cdf0614,7c748389-e7d6-4902-af9a-0cf2dcfaf81c,9/28/2020 3:21:37 AM,9/28/2020 3:21:37 AM,0,0,10,0,None,,1979,6151,PeoplesPark,,,Female,3 families,,,
265,38802e68-d396-4bb6-8367-51555c975d63,3c61d070-4591-491f-9fc3-e030d8758fb4,9/28/2020 3:27:33 AM,9/28/2020 3:27:33 AM,0,0,0,,,,1976,6028,BayView,,,,,,,
266,1d162436-1956-430b-8f58-fee0116e94a1,5c0aa275-b542-459c-8351-94c2d8b482ef,9/28/2020 4:33:54 AM,9/28/2020 4:33:54 AM,0,,0,,None,,1979,6009,,,,Male,Family of 4,,,
267,35e4d4a4-8d9b-433d-86a1-ff3df5b16d25,f7051947-0b6e-48f0-98c7-702ff22c0939,9/28/2020 4:39:01 AM,9/28/2020 4:39:01 AM,10,,40,,None,,1968,6012,PeoplesPark,,,Female,Couple,,,
268,bbdb51da-6435-4b69-b46b-c2fbb4d2a7f3,055e3dae-edaf-4fe9-a506-59e0362096b8,9/29/2020 8:00:11 AM,9/29/2020 8:00:11 AM,1,,Whole life,,None,,1962,6350,MantaResort,,,Female,4 family bogan older kids,7,G,Hire boat
269,7c3b0e9f-76ef-42d7-b7d4-e8b3a1b5a3c6,a3c1c218-1a9e-4013-a05b-2f90fd158bf3,9/29/2020 8:12:15 AM,9/29/2020 8:12:15 AM,12,,20,,None,,1978,6018,MantaResort,,,Male,Father and son,7,G,
270,e02865a9-0896-413e-9191-d4744939dd57,e42733db-f732-4900-9f85-11787cd1e77c,9/29/2020 8:18:46 AM,9/29/2020 8:20:51 AM,20,,16,,None,,2002,6020,NingalooBreeze,,,Male,Father with 2 teenage kids,6,D,The bandit - EN443
271,8c04355c-ef89-456a-8cc4-dc217ffaa368,b85fded3-045e-4222-b8ec-0bb6abeebef1,9/29/2020 8:36:38 AM,9/29/2020 8:36:38 AM,10,,40,30,OW,1000?,1971,6066,NingalooBreeze,,,Male,Family of 4,6,D,Jenny
272,dec49490-1cb9-4c23-91d8-6a168d62c600,0c8b7479-3eae-46e9-b94c-de74b6007354,9/29/2020 8:53:15 AM,9/29/2020 8:53:15 AM,30,,20,,None,,1995,Exmouth,,,,Male,Young couple,3,C,B0807
273,f0370b5e-9fb6-408f-9340-922cf3cd1adf,247f1307-5827-41fa-a4bf-553951fa8b88,9/29/2020 8:59:26 AM,9/29/2020 8:59:26 AM,6,,25,,None,,1963,6152,Lighthouse,,,Male,Couple,3,C,BW421
274,96505b85-9eb0-4d2c-9bf4-9b8ea23d36fc,974c309e-5561-44b8-bbc7-4330b65a0ac0,9/29/2020 9:05:07 AM,9/29/2020 9:05:07 AM,50,,10,,None,,2000,6156,Lighthouse,,,,,5,F,68296
275,006a1268-91e7-4fd8-9fd4-001914910c7b,01f63872-2291-4354-9a20-eb3d31801cf2,9/29/2020 9:16:37 AM,9/29/2020 9:16:37 AM,24,,15,,None,,1978,6237,NingalooLodge,,,Male,Family of 4 ,6,G,EA909
276,c8098d02-1e44-4a47-88ea-215d9b830999,ae32376e-4d4f-4622-900c-7ea3aec45166,9/29/2020 9:34:37 AM,9/29/2020 9:34:37 AM,,150,,7,None,,1962,6281,Lighthouse,,,Male,,3,C,
277,55e01e15-cde0-41ab-927f-7be59b0eed4f,c3deed98-800c-4120-a7b9-9e8c03240e68,9/29/2020 9:40:57 AM,9/29/2020 9:40:57 AM,4,,25,,None,,1962,6164,,Carpenter street - semi resident,,Female,"3 women 2 guys , older South Africans ",7,D,
278,eacb2fcf-0b00-4b93-a88e-354b3e0ab668,48dba169-81f6-4235-8354-646f202f1999,9/29/2020 9:51:33 AM,9/29/2020 9:51:33 AM,,,,30,OW,20,1978,6065,,Grenadier street,,Male,,3,,BA169
279,d88e5f97-1c50-4ddf-bc27-e7a05610f999,a5474c5e-3152-46dd-9f4c-025aadd80f11,9/29/2020 10:05:09 AM,9/29/2020 10:05:09 AM,24,,30,,None,,1975,6330,Lighthouse,,,Male,"Couple, one Aussie one Canadian ",4,C,BR528
280,8f5b5c9e-b0c7-420c-ad22-6e4bfed6d0e7,eba7585d-122a-4add-ba88-2aeb73ee8582,9/30/2020 3:43:06 AM,9/30/2020 3:43:06 AM,6,,Since childhood,,OW,25,1982,6012,RACHolPark ,,,Female,Family of 5,,,
281,9d114731-7617-402e-bfc4-80d1b35572d3,cdfd16bb-fc28-4cef-9e1b-415bbe1830c6,9/30/2020 3:50:05 AM,9/30/2020 3:50:05 AM,3,,2,,None,,1999,6407,,Overflow car park exmouth,,Male,Couple ,,,
282,9c1ec4dc-ecad-4f70-9312-56deeb72cf76,4cdf195b-aae9-4f4f-9b0d-238759cf32ff,9/30/2020 3:57:22 AM,9/30/2020 3:57:22 AM,0,,0,45,None,,1970,6157 6307,YardieHomestead,,,Male,4 kids 2 adults,,,
283,5c604122-9961-4e01-b31a-f89fc548c794,1b2e5c02-b707-4166-9f2c-d350767f73e7,9/30/2020 4:04:55 AM,9/30/2020 4:04:55 AM,18,,15,,None,,1973,6713,RACHolPark ,,,Male,,,,
284,05109150-5604-43a2-9a55-31c66a5e4073,6925e761-1e32-4583-964f-5ac37ac043d1,9/30/2020 4:11:40 AM,9/30/2020 4:11:40 AM,1,,,,None,,1982,6155,ExmouthEscape,,,Male,Family of 4,,,
285,2a55ba63-9967-469e-a663-176986416e9f,7d560c98-46e0-449e-95d1-09dac5a4c6f2,9/30/2020 7:25:42 AM,9/30/2020 7:25:42 AM,0,5,1,,None,,1992,Backpacker camping,Lighthouse,,,Male,Backpackers,,,
286,55f87cb6-afba-4f07-a163-ba37250bbe05,437ead76-2483-49c4-97bb-43fbcd77a2b1,9/30/2020 7:33:14 AM,9/30/2020 7:33:14 AM,2,,0,,OW,20,1977,6010,,Ned‰Ûªs campsite,,Male,Family of 4,,,
287,c3df889e-ce40-4e0e-a405-269f5fc9b007,b2fe7d57-69f1-432b-9da9-efe3b5b6e3b1,9/30/2020 8:22:54 AM,9/30/2020 8:22:54 AM,12,Every day! Almost,30,40,AOW,30,1971,Rocking ham safety bay,RACHolPark ,,,Male,WA Surf crew,3,A,
288,4255a787-bf01-4c99-a6ed-6438e379f5a7,9c500c45-2dc6-40a8-9dc2-58959167b2ed,9/30/2020 8:26:52 AM,9/30/2020 8:26:52 AM,0,100,0,20,OW,15,1985,6071,YardieHomestead,,,Female,Couple,,,
289,8e2be1f8-5346-400b-a636-67b86dbc6a39,0876e77f-b6d2-4ac2-894d-61dbf27acc6f,9/30/2020 9:04:15 AM,9/30/2020 9:04:15 AM,0,60,0,7,OW,12,1964,6153,YardieCamp,,,Male,Couple,,,
290,cce1ce2d-1789-4341-a5f5-ab38e9608cbe,b1f916b4-ddf1-4171-b13a-8b8079f1b8ad,9/30/2020 9:21:14 AM,9/30/2020 9:21:14 AM,0,0,0,0,None,,1965,6153,YardieHomestead,,,Female,Couple,,,
291,f765c9e1-3496-46c8-90a2-548af5ca86ce,6cec6c02-37b5-49bc-b54f-498b1bc95930,9/30/2020 9:40:40 AM,9/30/2020 9:40:40 AM,0,,0,0,None,,2000,6107,YardieHomestead,,,Female,"Friends students and professionals, young",,,
292,185f8264-3a3d-4d54-a011-34485bfa0bbd,c4934a37-de67-4e98-b06a-dff4da412c78,9/30/2020 9:52:35 AM,9/30/2020 9:52:35 AM,1,,,35,OW,30,1970,6156,YardieHomestead,,,Male,8,,,
293,c7014b37-d60e-4fa0-83bc-7f1a81c3be79,34c7f137-86c3-4851-ac14-8ef291496700,9/30/2020 10:02:47 AM,9/30/2020 10:02:47 AM,0,,0,6,None,,1976,6163,RACHolPark ,Yardie,,Female,Family of 4,,,
294,7e335926-51c0-42e7-a7f6-a71e6170f814,449a086e-db69-43d9-9860-8cf35eae1994,10/01/20 08:12,10/01/20 08:12,10,176,65,59,None,,1949,6282,,Private residence,,Male,Wife at home,,,
295,ba931f61-b9e7-43bb-be1f-70d967fcdeb5,498d07f5-39ef-4962-b0f5-d299b931d36a,10/02/20 03:52,10/02/20 03:52,,Weekly usually and when the kids are on school holidays,,,None,,1977,Spearwood,Lighthouse,,,Female,Family with 4 kids; came up with another family with two kids. All on holiday.,,,
296,77eef0b7-daf1-4fd1-ae2a-4f84f3571de4,028fc165-8553-4f43-94a3-1cba7233ae6b,10/02/20 04:00,10/02/20 04:00,Zero,,,,None,,1982,Mullaloo,Exmouth,,,Female,A woman and her son,,,
297,5e5f4908-a6f2-49df-87a6-4fa99c3c1919,31edefed-73a7-45f8-a7bd-29eb70c456c0,10/02/20 04:07,10/02/20 04:07,Two,Whenever possible,,,None,,1973,Currambine,Exmouth,,,Male,Dad and two daughters,,,
298,4f594923-998e-46c4-b4ca-bc4e1d8689f1,f4770671-d758-496e-a17f-fae7f7e22852,10/02/20 04:12,10/02/20 04:12,Zero,Not sure,,,,,1985,French but living in karrinup,,,,Female,Two ladies,,,
299,180234e3-d82e-41db-ba25-17e4eb1f109c,f7e82405-57bb-4626-8641-fbecab414492,10/02/20 04:19,10/02/20 04:19,,,,,,,1978,Bassendean,Exmouth,,,Female,Lady with husband and two kids,,,
300,7f305123-70c8-412e-b8b3-ebc6fb401b58,b73da2c7-7a56-4874-baa5-22822bb4bec4,10/02/20 08:04,10/02/20 08:04,Fortnightly,,30,,,,1971,,,,,Male,Family 2 adults 3 kids,5,C,Au622
301,51671231-a981-45d6-8924-8789d23f7a8d,ed789a83-0dcd-4db9-a593-c8c130a67a0b,10/02/20 08:19,10/02/20 08:19,Maybe 5 dunno hard to remember ,,40,,None,,1964,Como,,,,Male,4 adults 2 teenagers,5,F,
302,d060228e-f6c8-4b37-baf2-ced9c4898563,97bfd881-3690-4c7d-8dec-87aad7a0e03c,10/02/20 08:43,10/02/20 08:43,Twice a week,,Life,,None,Free diver,1976,Albany,Exmouth,,,Male,2 males,4,,
303,a02d1cf3-5132-4402-9f1e-76096e688085,31f5fd63-e16c-41f5-a680-d479ad5018ae,10/02/20 08:48,10/02/20 08:48,Dunno we go a bit but not weekly,,Life,,None,,1975,,,,,Male,2 men and 4 kids,9,B,
304,01bf5042-6e4c-44d5-9aca-8ce0690f9c9d,20bdc19c-0b06-415d-8603-ad9440a8c676,10/02/20 08:55,10/02/20 08:55,O,,30,,,,1969,Attadale,Exmouth,,,Male,Male dad with daughter and daughters friend,5,F,
305,452d5a3b-6ce6-43d8-bc35-5d9ca2111528,cade2c60-7592-4b75-90c8-001fbc8c17e0,10/02/20 09:08,10/02/20 09:08,Once a fortnight ,,All,,,,1981,Preston beach,Exmouth,,Going to Sandy bay tomorrow ,Male,5adults 4 little kids with life jackets. Mums came when the boat was coming in,10,G,
306,9318d253-9d85-4cc7-bb13-c79dd453feff,4e32fbb3-34d6-4c9e-b583-ce770ac2f182,10/02/20 09:21,10/02/20 09:21,,,,,,,1978,Falcon,Exmouth,,,Male,Man and lady,,,
307,69452c9c-f269-4929-af80-f7915144baaf,2d7f69f2-aea5-4429-854f-fd460945042c,10/02/20 09:33,10/02/20 09:33,Weekly,,,,,,1971,,Exmouth,,,Male,2 dads 3 kids,4,C,
308,61ae3739-98da-409c-8d01-caefbac0bff8,4a9ed8fa-83cc-4ac2-a27c-d05427f3e898,10/03/20 03:57,10/03/20 03:57,3,Half of the days of the year,4,18,Rescue,24,1992,6012,YardieHomestead,,,Male,With a group of 20 kite surfers; 16 adults and 4 kids,,,
309,d8f6ccd3-f31b-4e19-aba6-fc2544dc323e,cdc59bd0-917c-43a8-8a69-9962f8bbe595,10/03/20 04:41,10/03/20 04:41,15,100,25,5,AOW,20,1987,6012,YardieHomestead,Ospray,,Male,2 mates,,,
310,a7378bc4-457d-496b-a214-4ed793b399a0,f34fa719-23bb-40d6-b588-cfd924ded118,10/03/20 08:56,10/03/20 08:56,0,,,,,,1980,Melville,NManduCamp,,,Female,Family 2 adults 3 kids,,,
311,bcc4c4a0-1686-470b-b290-9e7e84a89f7c,b60ab79f-27ce-4f38-b5b4-363a26510fc6,10/03/20 09:10,10/03/20 09:10,Zero,,,,,,1988,Vic park,Lighthouse,,,Male,2 ppl,,,
312,088eff30-cf96-4da4-bd25-2f1fc0fdffed,02a10a4b-d353-4820-9366-da1e09fe98a6,10/03/20 09:29,10/03/20 09:29,5,,,,None,,1979,Albany,MesaCamp,,,Female,"Mum, dad and two kids",,,
313,15b08c2b-c158-4e30-b2f4-9dccbec1b9ba,fbc39c55-31b0-4f72-814f-4f66afaaa3ea,10/04/20 02:29,10/04/20 02:29,3,,Whole life,,OW,,1977,6069,NingalooLodge,,,Male,2families with kids,,,
314,fce09843-7cbe-420f-aae3-fab9349718dd,195a7a1e-34dc-4425-b886-ac59d003579d,10/04/20 02:34,10/04/20 02:34,,,,,AOW,130,1968,6019,ExmouthEscape,,,Male,Family of 4,,,
315,4ffe8791-131f-4108-91d8-59c796656fde,a0e898d3-719e-4141-b96b-d9a8c2c6e5ad,10/04/20 04:39,10/04/20 04:39,6,150,50,50,OW,,1959,6333,Lighthouse,,,Male,12,,,
316,2a9c82d8-bd29-445c-b914-a5f4e9c2df9f,86f990e6-6abb-4b0c-be33-af304fe8b199,9/29/2020 8:47:10 AM,9/29/2020 8:47:10 AM,2snhore ,5in ,20,New ,AOW,,1974,6015,YardieHomestead,,,Male,Couple with 5kids ,,,
317,f435dbf5-4ac3-47bc-a1cd-f060e4970367,3785f355-8112-40c1-bec6-a0aa12937884,9/29/2020 9:03:01 AM,9/29/2020 9:03:01 AM,No,Started 2/3 month ago goes out 1 a well. Other wind sport regularly 1 week ,,20,,,1968,6010,Lighthouse,,,Male,Couple with 1 kid ,,,
318,faff490f-fa07-46a5-a007-0972ffda21f4,8f22dd95-5c4d-46be-b4cb-97b16aad9e95,9/30/2020 3:42:50 AM,9/30/2020 4:23:15 AM,12 a year ,Just holiday ,,,None,,1976,6173,RACHolPark ,,,Female,"2couple, 3kids",,,
319,4d917519-5834-4a21-b7d0-3316a1b34d66,13345d05-48da-4eb3-978c-077e951bcdac,9/30/2020 3:51:58 AM,9/30/2020 4:21:14 AM,No ,,,,None,,1987,6714,Exmouth,,,Female,"2 couple, 1 kid ",,,
320,8c8a6f16-217f-49a0-a321-ee2645d5b9ec,33fb5bad-00c9-44e4-a77f-bf903e0f0da5,9/30/2020 4:02:28 AM,9/30/2020 4:20:50 AM,5 weeks a year ,,5,,OW,,1991,6020,Exmouth,,,Female,6f,,,
321,5e83a834-2569-4dd8-9389-88a4a11c4c6c,8578755d-7d59-48e1-8d24-b13ddf3b750d,9/30/2020 4:16:20 AM,9/30/2020 4:16:20 AM,5 weeks ,,5,,AOW,70,1990,6023,Lighthouse,,,Female,6f,,,
322,ed82e6b5-f4d9-440c-a916-a0ee6fb6d02c,d73e1844-c297-4827-9f04-be10bddce9e8,9/30/2020 7:12:36 AM,9/30/2020 7:12:36 AM,No ,,,,OW,,1977,6012,EscapeFourExmouth,,,Female,"2f, 2kids ",,,
323,5605aa47-e8ad-428c-af12-aaeb9630219f,a0deed00-4135-41c0-817d-16595da068fe,9/30/2020 7:29:07 AM,9/30/2020 7:29:07 AM,3/4 @ month ,,4,,None,,1973,6014,Exmouth,,,,Couple 2 kids ,7,G,Eh742
324,f38c8af5-1436-43d2-97e7-7079ea3318c4,aa418250-2873-47d8-8f68-51a9d01c5128,9/30/2020 7:31:35 AM,9/30/2020 7:32:51 AM,3/4 a month ,,4,,None,,1973,6014,Exmouth,,,Male,Couple 2 kids ,7,G,EH742
325,45ed4601-8bbd-4cd0-a192-a03b0f2624f0,8456e5b8-0ec3-4748-8f64-da67be924f13,9/30/2020 7:52:10 AM,9/30/2020 7:52:41 AM,1 in 3 weeks ,,40,,None,,1972,6017,Exmouth,,,Male,2m and 1 teen m ,7,G,The bandit 
326,94dbd25a-2732-4960-9536-90462fc34a92,b27ce890-739d-4dc6-8891-cd181ea32ea6,9/30/2020 8:08:18 AM,9/30/2020 8:08:18 AM,"2a month, in such holidays 1 2 week ",,,33,,,1987,6285,Exmouth,,,Male,2m,4,F,Bw406
327,40cec7ac-1d24-42f6-9f78-8d63b9a32447,18ffcf90-d169-46fd-97d1-d9f1bf13f5af,9/30/2020 8:18:15 AM,9/30/2020 8:18:15 AM,25,10,30,1,OW,100,1967,,,,Jet ski ,Male,Couple,2,,
328,a7471c59-b44b-4118-aaf7-a87e701f3a56,8b5f3d48-d283-4f26-81a3-f1842824c70f,9/30/2020 8:23:34 AM,9/30/2020 8:23:34 AM,Had been fishing as well but didn‰Ûªt have enough time ,5,,1,OW,,2002,6210,Exmouth,,,Female,"Couple, 4teens (3 f, 1b)",5,F,De428
329,a7d5238b-d470-4717-96f9-f154f74bc919,37cb349a-ac57-4ea5-b44e-7e26c80b8348,9/30/2020 8:32:19 AM,9/30/2020 8:32:19 AM,"15, everyday in school ho,idays ",,20,,None,,1972,6210,Exmouth,,,Male,Couple 3 kids ,4,F,BM193
330,8eb9a0e0-1ac8-4860-a128-6160497050d0,21e1326c-6f72-47a8-9598-d088b5c25844,9/30/2020 8:52:23 AM,9/30/2020 8:52:23 AM,2,,15,,OW,,1973,6018,Exmouth,,,Female,Couple 2 kids ,5,F,Dd508
331,6acd5f06-e21d-474e-ba47-d20387233ce7,7813107a-e735-4e3d-99e6-3efd4eb9a45c,9/30/2020 8:57:37 AM,9/30/2020 8:57:37 AM,20,,30,,OW,20,1975,6155,Exmouth,,,Male,3m,5,E,Dd632
332,7944d851-5c31-4583-a585-aa0b629829fe,1af2feb5-0eab-4829-bbc9-f93cbe3904ef,9/30/2020 9:10:18 AM,9/30/2020 9:10:18 AM,20,,35,,None,,1965,,,,,Male,"2 couples, 4 kids ",3,F,Soggy nuts 
333,376547a3-9f7e-4611-add7-15fd7f1cb1ee,29fbe362-56ba-47a4-b74c-282bb7df46e3,9/30/2020 9:49:18 AM,9/30/2020 9:49:18 AM,10,,15,,None,,1985,6315,Exmouth,,,,,,,
334,428a8272-fc84-4a0e-b8f9-35195d486771,1d6928d3-11b5-4a1e-a5cc-6bdfe37de012,10/01/20 01:36,10/01/20 01:36,"0, used to go a lot, occasionally ",,,,OW,,1986,6107,Exmouth,,,Female,"1f, 4kids",,,
335,eb1d4b1a-1d27-4b18-9450-ab398d4345ea,92bcdfe9-c90d-4064-9a11-31f041972700,10/01/20 01:56,10/01/20 01:56,0,,0,Snorkeling 20 yrs holiday thing ,OW,Not done it in years ,1991,6065,Exmouth,,,Female,"2coupkes, 3 kids ",,,
336,cea951ab-7b27-41cb-8b8d-0c9563d7f97a,65a220e5-4f52-44fb-9f9a-2ae1483d7ed7,10/01/20 02:05,10/01/20 02:05,0,,,,AOW,75,1993,6019,NKurrajong,,,Female,Couple ,,,
337,c2269c62-4e7f-4ebd-8b95-8d1ae673c9b5,bfc74179-e056-420d-8031-7469401d7f1d,10/01/20 02:14,10/01/20 02:14,No,,,,None,,1980,6050,SalSalis,,,Female,1f and elderly lady ,,,
338,ec5efa4a-65ce-46e0-b3fb-c9495f1ac127,4d4dea9e-4444-4c06-b3d7-bc20bc5a4258,10/01/20 02:19,10/01/20 02:19,,,,,None,,1972,6016,YardieHomestead,,,Male,"1m, 1 kid ",,,
339,3cd9e19e-9ce0-4c6d-a72e-0fec617cf243,9e539892-5e69-43e8-991e-aa1e7c24937f,10/01/20 02:33,10/01/20 02:33,Shore10 months ,,32,,OW,,1988,6239,Exmouth,,,Female,"1f, 3kids ",,,
340,e734d69f-b797-4e80-8a4a-54b96eb8b36a,2bdb62b4-abfc-48ef-9428-be029be7b8d2,10/01/20 02:47,10/01/20 02:47,18,,2,,AOW,,1979,6019,Exmouth,,,Female,"2f, ",,,
341,7a20d343-11b0-4533-8b33-18515b136bae,3a4d4994-4f3b-45b2-acf3-a3375e3652a3,10/01/20 02:54,10/01/20 02:54,0,,,,None,,1980,6065,Exmouth,,,Female,"2f, 1m, kids in water",,,
342,69a76911-a374-4356-bf74-83e37dc14c14,e7c20f97-9496-41c7-8bfa-15a70910554a,10/01/20 03:10,10/01/20 03:10,"3, shore 10in 6month",,50,,None,,1942,6107,,,,Male,Big family party in water don‰Ûªt know how many ,,,
343,fe5612cd-5c3f-450e-abfc-72844ab94d16,d7e91137-9e7c-423c-ac77-8727e8d2cffe,10/01/20 03:20,10/01/20 03:20,No,,,,OW,,1982,6012,MesaCamp,,,Female,"3coupkes, kids in water don‰Ûªt know how many ",,,
344,f57ee6a5-937b-4798-8c68-b116249a7b99,1a148459-f443-4760-8494-8c54abb17be7,10/01/20 03:25,10/01/20 03:25,,,,,None,,1982,6018,MesaCamp,,,Female,"2f, kids in water, don‰Ûªt know how many ",,,
345,187f5f00-d20d-4add-8f16-020056c491de,ad9c64d3-7be5-42af-a979-ef8ed35d7770,10/01/20 07:28,10/01/20 07:28,,,,,,,1974,6054,Exmouth,,,Female,2f,,,
346,c099dcdf-2760-4b41-b805-b09df541981a,5d78d774-6d0f-4ff1-b53c-c65fca5abe21,10/01/20 07:39,10/01/20 07:39,Shore: 12,,2,,None,,1979,6028,Exmouth,,,Male,"1m, 2kids ",,,
347,81ce395b-1c07-4177-8603-7f6515b02a2f,46501ccc-3b50-4af9-99fa-02cbad49231e,10/01/20 07:47,10/01/20 07:47,"Never, holiday fishers ",,,,,,1974,6062,Exmouth,,,Female,"Couple 2teen f, 1 teenm",,,
348,8415e6c7-0fca-428b-a450-d864794b61ff,8e4bf833-9eb5-4fb1-a73c-b77bf8e8c974,10/01/20 07:54,10/01/20 07:54,1month,,40,,OW,,1953,6210,Exmouth,,,Male,"2couple, 1 kid ",,,
349,1daeb144-012d-42c7-9d48-b7c21a17b7e4,a57ac1bd-7c6d-4d02-b440-51c23457fd87,10/01/20 08:05,10/01/20 08:05,20a month ,,Life ,,None,,1967,6282,Lighthouse,,,Male,"Couple, 2 kids ",,,
350,aa5eb12e-1748-495b-ad51-7462b30be515,ba365a75-63fe-47d6-b95d-161bb0581ead,10/01/20 08:37,10/01/20 08:37,,,,,Instructor,,1968,,,,,Female,Mum and son ,,,
351,4e31b433-0eeb-448f-afef-ad72a0f4d5f2,62aa506c-ce1a-4f92-8281-88f8d1988fe0,10/01/20 08:52,10/01/20 08:52,Everyday ,,2,,None,,1975,6050,Lighthouse,,,Female,Couple and son ,,,
352,5d8daee6-bd7b-46a5-8552-f8eb5b2f7248,948bd867-6575-443d-aec4-9f98fc034c0d,10/01/20 09:01,10/01/20 09:01,,,,,,,1977,6069,RACHolPark ,,,Female,"Couple, 3 kids ",,,
353,bf50a647-42a2-4c9d-ba8e-3f8b0e8af223,1ed187a2-4451-45f4-baa2-73b49eae53da,10/02/20 03:03,10/02/20 03:03,2month ,,25,,,,1980,6165,YardieHomestead,,,Male,2m,4,F,
354,5f6e85af-1a07-45da-bf0d-9a76cdc5ab05,3589843b-6cdd-47dd-9c2f-262eb4a126c6,10/02/20 03:13,10/02/20 03:13,5,,20,,,,1976,6015,MesaCamp,,,Male,"2m, 1f",3,F,Green hire boat 
355,4dd5f5c0-b6c9-4386-8709-47f1024b7b39,c1bcd87f-d9ef-44ea-b2f0-95d080298caf,10/02/20 03:18,10/02/20 03:18,15,,35,,None,,1980,6107,YardieHomestead,,,Male,Couple,4,F,Rental 
356,c4579125-a04f-40c4-886a-ac99a595dc13,557c6182-901e-4f8a-9ba2-45c045dbd49a,10/02/20 03:24,10/02/20 03:24,Just haunt boat ,,30,,AOW,,1978,6025,Lighthouse,,,Female,Couple ,4,E,G1819
357,dd7ebb1d-c736-439e-96f9-14f76aeb50b9,6ef81aee-f958-47c5-855e-49a291f68030,10/02/20 03:32,10/02/20 03:32,2 a week ,,50,,,,1956,6168,Exmouth,,,Male,Couple ,6,G,AT969
358,07d80e26-a435-410f-9b03-d32682a6f52f,f435d206-fdf5-4f08-beec-070ca487772d,10/02/20 04:19,10/02/20 04:19,"1, shore 4",,20,,,,1965,6225,Lighthouse,,,Male,"Couple, 2kids ",4,F,Rental 
359,54fdb812-3606-489d-b4a1-b92290cfadab,2d11197c-e26a-45eb-a655-b052efa6dad1,10/02/20 04:40,10/02/20 04:40,1a month boat ,40,20,30,DM,,1975,,,,Drives glass bottom boat and kayaks back. Told me about two previous days ,Male,1m,,,
360,4987567a-d730-41ba-bdc9-b8f383e6d550,c203608c-edba-4340-9048-805aefae4ce6,10/02/20 09:55,10/02/20 09:55,"3 week  said he only have to fish once a week 10 years ago to get enough fish to eat, now he has to fish 3 times a week to get enough fish to eat. No fish left , when they go out on they boat they get 1 fish out of three taken by sharks and move on but say",,50,,None,,1971,,,,,Male,"2m, 1f",,,
361,5784bd7d-c674-424c-8629-f05c6877710e,00bcc49e-71c8-4825-b6cb-f359ac084c68,10/03/20 02:13,10/03/20 02:13,2amonth half shore half boat. Have a boat in Perth ,,Life ,,,,1996,6073,,Grimal station ,,Female,"2m, 1f",,,
362,d4496856-25e2-4994-a511-c5b0bca0a207,56b53109-a202-4c3d-99ed-5c4ffa96a4df,10/03/20 07:52,10/03/20 07:52,2month ,,30,,,,1984,6525,YardieHomestead,,,Female,2males,,,
363,521c08ee-cf35-401e-aa39-64f610b39506,6fb79faf-86fa-44c5-83ed-c1a17aba39ae,10/03/20 09:04,10/03/20 09:04,"3yesr, shore ",,30,,,,1973,6210,,,,Male,Couple 2 kids ,,,
364,4256847b-1817-4d34-89e4-5d8f28c4c6af,67972d4f-0aaf-48ac-bb23-17f778acf6bc,10/03/20 09:12,10/03/20 09:12,1a week ,,40,,OW,,1976,6722,MantaResort,,,Male,"Couple, 3 kids 1 tee.  Oh 2 young girls",,,
365,6bd80b0d-7410-4cd0-809a-3d642c889ee9,f8b0499b-62b4-4f69-8079-a9b4d43bb14c,10/04/20 01:51,10/04/20 01:51,30,150,Life ,2,OW,150 doves ,1978,6156,Exmouth,,,Male, Couple ,,,
366,d157a7ae-3cd9-4755-9753-8f97a83346fa,1e2e219d-46ca-4106-8dcb-329d57d78a7e,10/04/20 03:15,10/04/20 03:15,25,,Life ,,,,1978,6018,RACHolPark ,,,Male,2coupkes 3kids ,,,
367,d2e2e859-8840-4fdf-b449-9c6a02e9ec10,b0a88793-6094-418e-b02c-329ebf26fc8f,10/04/20 04:30,10/04/20 04:35,No,,,,None,,1979,6011,Exmouth,,,Female,"2 couples, 5kids ",,,
368,45fb4188-7432-4969-af4c-a309cb8154e6,67a391dc-a6f6-43b1-9c3c-541ae43d6ec6,10/04/20 05:19,10/04/20 05:19,Month 7,,10,,None,,,6210,Exmouth,,,Male,"Couple, guys fishing, girl sunbathing ",,,
369,29467243-8454-43ea-b88f-eb3fa86709c2,c2f1ce9b-e175-4ab5-a0ef-11e7c71d736c,10/04/20 06:37,10/04/20 06:37,,,,,,,1968,6153,YardieHomestead,,,Female,"Couple, daighter",,,
370,ef519e8c-3edd-4902-8de6-77777e041421,730268e4-16c8-42cd-86cc-2e2d0fbce9f6,10/04/20 06:43,10/04/20 06:43,,,,,,,1976,6150,Exmouth,,,Female,"Couple, 2 kids ",,,
371,c7c742eb-1205-4074-8700-d8a041e6684e,cd4222b5-9a37-4fd3-b9c1-76e49d473410,10/04/20 06:48,10/04/20 06:48,Boat: 2 month,,Life ,,,,1972,6166,NKurrajong,,,Male,"Couple, 1boy",,,
372,09e963de-a9b3-453c-97aa-16f7c3c9c108,caf27a2e-9522-4d10-9256-c1ad2e24ec57,10/04/20 06:59,10/04/20 06:59,Shore: month 1,,8,,,,1974,6173,Exmouth,,,Male,"2couples, 3 kids ",,,
