OBJECTID,Guid,GlobalID,CreationDate,EditDate,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
191,b708d812-76be-47bf-9c59-eafc6c085afb,bb1a8313-22f9-42fd-a8be-156acd8aee6a,9/27/2020 3:39:47 AM,9/27/2020 3:39:47 AM,,,,,None,,1989,6167,RACHolPark ,,,Female,Family of 4 from spain,,,
192,7c497cea-cb6d-4729-ad20-aa99fcaaa883,2236fcd8-265c-4cfc-a89f-918a5f31cbb8,9/27/2020 4:27:52 AM,9/27/2020 4:27:52 AM,,,39,,None,,1982,6330,Lighthouse,,,Male,5 people family,,,
193,6894be4a-ccb9-4ec9-ba9c-d7d94ac6eeba,2a0e4506-cd71-48c5-bd79-c8099057c0a5,9/27/2020 7:22:57 AM,9/27/2020 7:22:57 AM,1,,30,,OW,20,1975,6100,CoralBay,,,Male,2 males friends,,,
194,34b9dbb9-e353-4173-aad9-fd3832a089a8,4866975b-eea7-4308-a1f7-2f546294b6fe,9/27/2020 7:57:01 AM,9/27/2020 7:57:01 AM,,,20,,OW,26,1976,6153,BayView,,,,,,,
195,5daedcc5-28d1-4f6d-a7e1-c15a55fdaafb,aefccc2b-292c-4870-bcd7-02ee4f534e58,9/27/2020 8:08:13 AM,9/27/2020 8:14:26 AM,,,30,,Rescue,100,1973,6071,BayView,,,Male,3 familes,8,G,
196,a80da1cf-60e3-4298-ae28-a40626a38fa7,af6d4e6c-3474-491a-9d40-e1f323a65181,9/27/2020 8:38:06 AM,9/27/2020 8:38:06 AM,1,30,5,Whole life,OW,10,1990,6100,CoralBayBackpackers,,,Female,2 backpackers couple,,,
197,e5013e0f-05ea-4720-8e00-053290728707,0efdb626-49a9-4a41-9539-c4f8c48541a3,9/27/2020 4:15:59 AM,9/27/2020 4:15:59 AM,0,,40,,,,1967,6031,,,,Male,"2m, 2f, 3kids",,,
198,791cd12a-cc6d-4d96-b1fe-fe4a9df960e3,848c87df-b035-47b0-b88c-f75fd1903d5c,9/27/2020 4:23:58 AM,9/27/2020 4:23:58 AM,10,,35,,OW,5,1972,6714,,,,Male,Couple and 2 kids,,,
199,0081b0b5-d4a3-426f-88df-0efca3348787,4494a328-1bf9-4333-8290-9ea43623be6e,9/27/2020 7:55:21 AM,9/27/2020 7:55:21 AM,,,,,,,1979,6076,CoralBay,,,Female,"2couple, 4 kids",,,
200,aa3e9ec8-1e7a-43c7-9a00-79911b42841a,cee08624-0727-4004-bd11-bca0f9a4ee10,9/27/2020 8:03:56 AM,9/27/2020 8:03:56 AM,,,I frequent 20 yrs,,OW,,1979,6232,CoralBay,,,Male,"2 couples, kids, can‰Ûªt tell how many ",,,
201,78e158b8-33eb-4973-a3e5-5574f041e894,835a61bf-0ea8-42f9-8473-6a9581160a87,9/27/2020 8:07:58 AM,9/27/2020 8:07:58 AM,,,Not a fisher,,,,1973,6156,,,,Female,"1f, 3kids",,,
202,cb1b12d9-d883-4d5f-8785-430138afa7d4,4c82829d-0a8a-4700-b426-37e2a28dcfcc,9/27/2020 8:32:37 AM,9/27/2020 8:32:37 AM,,,Shore fishing 35 ,,,,1963,6021,CoralBay,,,Male,"3m, 5f, 4kids",,,
203,7432f506-1f27-45de-bf33-2cb7af216e34,f38a5778-5ab5-4a73-aedf-3043cb2c5297,9/27/2020 8:52:58 AM,9/27/2020 8:52:58 AM,,,No fishing ,,,,1982,6171,CoralBay,,,Female,"1f, 5kids",,,
204,fcae6dd6-c26e-49f7-addc-f59575603bfc,89a2dcb4-37fd-41ee-a968-5f603ef2f582,9/28/2020 3:19:01 AM,9/28/2020 3:19:01 AM,Zero,10,Zero,,OW,15,1995,6012,Exmouth,,,Male,1 man,,,
205,6d6b6684-1a5c-44f5-aaeb-2119e81fe062,d3d602f7-62f2-4633-aa23-6ff0e200fe54,9/28/2020 3:28:37 AM,9/28/2020 3:28:37 AM,Zero,,30 but not serious,,None,,198,6233,CoralBay,,,Male,4 adults 2 kids,,,
206,f4bd29bb-791a-4205-ba2e-018f71192d4c,5c695ad1-9b5b-49db-96b0-850923f2b880,9/28/2020 4:22:03 AM,9/28/2020 4:22:03 AM,0,2 per week,,,,,1991,Wembley,CoralBay,,,Female,1 lady,,,
207,2e21ad7b-a4be-4e21-81f1-b38ce6264b10,950bacbe-8d49-42f9-b246-8b8fbef30ce7,9/28/2020 4:31:43 AM,9/28/2020 4:31:43 AM,0,Too many to count,,Life; snorkelled as a kid,,,1961,6000,CoralBay,,,Male,2 adults 1 kid,,,
208,6782b239-cbdb-4fe9-be4b-979a5af25cdd,a3b400d9-a06d-465b-9ea5-dbe27ccc9f7d,9/28/2020 4:41:10 AM,9/28/2020 4:41:10 AM,No,Whenever we can,,,None,,1972,Gosnells,CoralBay,,,Male,7 adults 5 kids,,,
209,a68c79ee-8568-492e-b9b7-cac246cd3173,e55f50d0-416c-4478-83a7-f5f1695a09a7,9/28/2020 5:00:49 AM,9/28/2020 5:00:49 AM,,Once or twice a week and whenever on holiday,None,Life,,,1984,Rockingham ,CoralBay,,,Female,2 adults 2 kids,,,
210,e6ec2527-7032-47bb-8f1b-6ff54a3a3f06,9cd35bbe-a059-47b9-83e8-01359005afef,9/28/2020 2:58:03 AM,9/28/2020 2:58:03 AM,,,,,,,1975,6148,CoralBay,,,Female,"Couple, 2kids",,,
211,27620a7d-4b96-4893-8272-fa44e7553809,84f5827b-80ad-45bf-a58f-efe20fd3efa8,9/28/2020 3:17:58 AM,9/28/2020 3:17:58 AM,,,,,,,1983,6164,,,,Female,2couples,,,
212,4bbc5c64-9b25-4f5d-ad09-489b7e99d9d6,a1cb95e5-4497-41b9-b92a-1ad70f32a505,9/28/2020 3:26:00 AM,9/28/2020 3:26:00 AM,,,,,,,1977,6171,CoralBay,,,Female,"3couples, 3 kids",,,
213,9bdb4c47-0264-43e1-8130-55bff84b91f3,8f6be314-aea0-4ab4-a639-2f4149df2688,9/28/2020 3:57:19 AM,9/28/2020 3:57:19 AM,,1 in a firnite ,,3,,,1974,6018,CoralBay,,,Male,1m,,,
214,92501a72-f96c-41e2-a0af-f51bdc806377,9d990f08-e717-440c-92a3-db07465bb301,9/28/2020 4:08:13 AM,9/28/2020 4:08:13 AM,1 fortnite,,33,,OW,,1987,6285,,Just stopped by on wat home fromexmouth,,Male,2m,4,F,
215,cb71a2b2-a310-4290-8920-7a5449182f37,e1e8a59f-1f46-4e73-993d-bf478590c564,9/28/2020 4:14:52 AM,9/28/2020 4:14:52 AM,60 -100,,4,,,,1981,6019,CoralBay,,,Male,4m,3,F,23399
216,0a8f0e94-8331-4ff6-aede-a2bfc3c3ed4c,16e5b4f1-be81-49f2-87b8-e51d7d5fc6a2,9/28/2020 4:44:09 AM,9/28/2020 4:44:33 AM,250 shore based ,,25,,OW,,,6701,CoralBay,,,Male,Couple 2 kids ,,,
217,3a87b94c-55ff-40ff-8a5d-6bb028888186,8a6628b5-587e-4426-9eef-ce0088b6e3d2,9/28/2020 8:53:32 AM,9/28/2020 8:53:32 AM,0,0,2 months,0,None,,1981,6014,ExmouthEscape,,,Male,Asian family,,,
218,999ef879-0b74-4e1d-9df2-076b6daf3b87,d02bdb22-1c31-41bd-9131-0a9ac250629c,9/30/2020 3:03:24 AM,9/30/2020 3:03:24 AM,Zero,,,,,,198,Rolleystone,YardieHomestead,,,Male,1 male,,,
219,e1a75beb-bec3-4859-9573-9bdab253cdce,944db555-586c-4802-b906-a1acb3bf1d2f,9/30/2020 3:15:06 AM,9/30/2020 3:15:06 AM,20,,20,,None,,1985,Palmyra,Exmouth,,,Male,2 guys,5,F,It‰Ûªs in the excrractive column
220,ce66d0d5-4f54-4387-b73b-e3d686cf010e,3893e1c6-fbb0-4a49-adbd-d3dc47f6c7df,9/30/2020 3:39:22 AM,9/30/2020 3:39:22 AM,56,56,40,,,,1975,Rivervale,Exmouth,,,Female,"1 mum, 1 dad, 5 kids",3,C,
221,3603cbf6-e54d-41e0-965e-84da0c5345e3,429077b1-1ec5-4630-910e-4fec3aaf52bd,9/30/2020 4:17:20 AM,9/30/2020 4:17:20 AM,50 estimate,,20,,OW,Can‰Ûªt remember around 20,1985,Armadale,Exmouth,,,Male,2 adult male and two kids,4,C,
222,8d53fa5e-2aac-4aab-8907-812accd6b81d,84b4c44d-3059-4996-b571-a24e5a174a99,9/30/2020 4:27:06 AM,9/30/2020 4:27:06 AM,2 a month,,15,,,,2001,Port kennedy,Exmouth,,,Male,19 yr old and his dad and their two dogs ,6,F,
