OBJECTID,Date,GlobalID,CreationDate,EditDate,Interviewer,Transect,Access, ScreenOne,ScreenTwo,Agreement,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,DaysOnShore_Other,TimesInTwenty,TimesInNineteen,TimesInNineteen_Other,Covid,x,y,MetaComments,SurveyType,SurveyType_two
191,9/29/2020 9:41:07 AM,f12bb43a-2b7d-4554-b7c1-549702b71ec2,9/29/2020 9:44:05 AM,9/29/2020 9:44:05 AM,Sam,Bundegi,BunBR,Yes,No,Yes,56,Yes,20,,,0,3,,No,114.1705637,-21.83591961,Semi-resident,,
190,9/29/2020 9:35:26 AM,57abd81d-55d9-466d-95f1-74194632b942,9/29/2020 9:37:11 AM,9/29/2020 9:37:11 AM,Sam,Bundegi ,BunBR,Yes,No,Yes,7,No,0,7,,,3,,No,114.1708228,-21.8356138,,,
189,9/29/2020 9:21:33 AM,1d31b805-b940-46b3-a64a-76df0a58467c,9/29/2020 9:25:42 AM,9/29/2020 9:25:42 AM,Sam,Bundegi,BunBR,Yes,No,Yes,7,Yes,7,0,,0,0,,No,114.1707599,-21.83589556,,,
187,9/29/2020 9:06:48 AM,8b37bfb1-9db2-4a5b-aa84-d57f17911320,9/29/2020 9:09:03 AM,9/29/2020 9:09:03 AM,Sam,Bundegi,BunBR,Yes,No,Yes,7,Yes,5,2,,0,0,,Yes,114.1703139,-21.83555392,,,
186,9/29/2020 8:59:39 AM,cc4c29f3-b10f-4e19-9d0a-0b2c3dcb5f23,9/29/2020 9:01:23 AM,9/29/2020 9:01:23 AM,Sam,Bundegi,BunBR,Yes,No,Yes,7,Yes,7,0,,0,1,,No,114.1705041,-21.83553338,,,
185,9/29/2020 8:54:05 AM,5cda63ef-f324-4473-82a5-fb32b39ba33a,9/29/2020 8:55:47 AM,9/29/2020 8:55:47 AM,Sam,Bundegi,BunBR,Yes,No,Yes,14,Yes,14,0,,0,1,,No,114.1701215,-21.83500061,,,
234,9/29/2020 8:48:16 AM,fce4e099-1365-448b-9149-e34d8014c67a,9/29/2020 8:51:09 AM,9/29/2020 8:51:09 AM,Nicole,Bundegi,Wobiri,Yes,No,Yes,14,No,0,14,,0,0,,Yes,114.0682269,-21.82938283,,,
184,9/29/2020 8:42:21 AM,834febc8-90c8-4031-9e6c-1d4f2da939fa,9/29/2020 8:49:04 AM,9/29/2020 8:49:04 AM,Sam,Bundegi,BunBR,Yes,No,Yes,Resident,Yes,56,,,,,,No,114.1706715,-21.8352226,"56 times in a year, once a week",,
233,9/29/2020 8:37:59 AM,e10c2b56-19fd-4993-8299-a9b07c4c13de,9/29/2020 8:42:06 AM,9/29/2020 8:42:06 AM,Nicole,Bundegi,Wobiri,Yes,No,Yes,7,No,0,7,,0,0,,No,114.0682568,-21.82939322,,,
183,9/29/2020 8:21:13 AM,35b6ab6a-0051-4846-ac8e-19d68b90544c,9/29/2020 8:31:13 AM,9/29/2020 8:31:13 AM,Sam,Bundegi,BunBR,Yes,No,Yes,14,Yes,14,0,,1,4,,No,114.1703757,-21.83498167,,,
182,9/29/2020 8:14:05 AM,598be3c6-1701-43d3-8700-822636d4df12,9/29/2020 8:14:15 AM,9/29/2020 8:19:40 AM,Sam,Bundegi,BunBR,Yes,No,Yes,14,Yes,14,0,,0,0,,No,114.1707088,-21.83527575,,,
181,9/29/2020 8:04:44 AM,7ff1e122-ecbc-4939-b848-ff41a9047491,9/29/2020 8:06:18 AM,9/29/2020 8:06:18 AM,Sam,Bundegi,BunBR,Yes,No,Yes,8,Yes,2,6,,0,0,,No,114.1705692,-21.83502132,,,
180,9/29/2020 7:52:02 AM,247e9e11-cae7-4542-a4e5-dd4095e0ec08,9/29/2020 7:52:02 AM,9/29/2020 7:52:02 AM,Sam,Bundegi,BunBR,Yes,No,Yes,10,Yes,5,5,,0,0,,No,114.1700072,-21.83563536,,,
107,9/28/2020 8:44:45 AM,ae7337a1-2382-4af4-a534-ce96fbe509ca,9/28/2020 8:49:57 AM,9/28/2020 8:49:57 AM,Sam,ExmouthS,LearmonthJetty,Yes,No,Yes,14,No,0,5,,0,,,Yes,114.0994745,-22.21223314,,,
97,9/28/2020 4:56:22 AM,0d2a767f-1062-43a6-a216-18f97b745fbf,9/28/2020 4:57:32 AM,9/28/2020 4:57:32 AM,Gabby,CoralBay ,Bills Bay ,Yes,No,Yes,10,No,0,10,,0,1,,No,113.7681052,-23.14294778,,,
96,9/28/2020 4:32:35 AM,1ecd8c45-2971-4d47-b4b6-03a82cb8aa80,9/28/2020 4:37:28 AM,9/28/2020 4:37:28 AM,Gabby,CoralBay ,Bills Bay ,Yes,No,Yes,11,No,0,11,,0,1,,Yes,113.7692946,-23.1415735,,,
