"","mGlobID","# Interviewer","# Site","Screen: 18+","Screen: Have you done this survey recently?","Agreement to participate","Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total?","How many DAYS of your trip will you be doing coastal shore based activities in total?","Excluding this trip, how many times have you been to the area in the last 12 month?","created_date.x","Are you of Aboriginal or Torres Strait Islander origin?","Are you a Traditional Owner of the region?","mLong","mLat","exGUID","# Is this a boat based or shore based activity?","If RECALL, what date did they go fishing?","What type of fishing did you do?","Did you use bait or lure?","What time did you START fishing at this site?","What time did you STOP fishing at this site?","What was your maximum hook depth (m) at this site?","Number of fish kept undamaged at this site?","How many fish did you release at this site?","How many shark bite offs did you get at this site?","What species of fish did you keep?","Why did you leave this site?","Comments.x","exGlobID","created_date.y","Did anything detract from your experience at this site?.x","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken for a customary purpose?","exLong","exLat","exActivityType","nexGlobID","nexGUID","# Is this a boat-based or shore-based activity?","If RECALL, what date did they participant do the activity?","What activity did you do?","What time did you START the activity?","What time did you STOP the activity?","If DIVING, what was your maximum depth (m)?","Why did you CHOOSE this site?","Why did you LEAVE this site?","How many DAYS have you done this activity in the last 12 months?","How many YEARS have you been doing this activity?","Comments.y","created_date.x.x","Did anything detract from your experience at this site?.y","If of Aboriginal or Torres Strait Islander origin, was this activity undertaken from a customary purpose?","nexLong","nexLat","nexActivityType","OBJECTID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number","Comments","created_date.y.y"
"11","B48CED61-1739-4972-A576-3E9B066098C5","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","22/1/22",NA,NA,121.9322533,-33.831415,"B48CED61-1739-4972-A576-3E9B066098C5","Boat","22/1/22","Trolling","Bait","5:00","8:00",80,13,30,0,"Nanniguie , break sea cod , queen snapper","Explore",NA,"76B3ECF8-CCC8-463F-BAEA-BAF046DD2E11","22/1/22",NA,NA,122.1185917,-34.28537652,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"B48CED61-1739-4972-A576-3E9B066098C5",5,20,"None",NA,1984,6447,"Esperance","Male",NA,2,NA,NA,6,"EB769","Concerned about marine park, said that even if they don’t close of beach and marine space initially, that the govt has the power to do so in future - which seems to be his main concern","22/1/22 4:56"
"12","B48CED61-1739-4972-A576-3E9B066098C5","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","22/1/22",NA,NA,121.9322533,-33.831415,"B48CED61-1739-4972-A576-3E9B066098C5","Boat","22/1/22","Trolling","Bait","8:00","11:30",30,4,10,0,"Nanniguie","EndOfDay",NA,"FE8F2342-BC3D-4E3B-A11A-D82433C29E21","22/1/22",NA,NA,121.9601117,-34.0515122,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"B48CED61-1739-4972-A576-3E9B066098C5",5,20,"None",NA,1984,6447,"Esperance","Male",NA,2,NA,NA,6,"EB769","Concerned about marine park, said that even if they don’t close of beach and marine space initially, that the govt has the power to do so in future - which seems to be his main concern","22/1/22 4:56"
"13","F6656FA9-F674-4580-9235-BF5D949A9879","EH","BandyCreekBR","Yes","No","Yes","No","4","Yes","1","4","3","22/1/22",NA,NA,121.9321817,-33.83140167,"F6656FA9-F674-4580-9235-BF5D949A9879","Boat","22/1/22","Casting","Bait","11:00","12:40",15,10,10,0,"Herring","Weather",NA,"643082AD-B860-4C09-8F47-5B0CE5410C44","22/1/22",NA,NA,121.9613312,-33.85609321,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"F6656FA9-F674-4580-9235-BF5D949A9879",2,30,"None",NA,1987,6432,"Esperance","Female",1,2,2,NA,7,"Gg053",NA,"22/1/22 5:03"
"14","B1C70484-6603-4D98-A5A6-49EEFCB6FBDE","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","22/1/22",NA,NA,121.9321917,-33.83102167,"B1C70484-6603-4D98-A5A6-49EEFCB6FBDE","Boat","22/1/22","Casting","Bait","4:45","6:00",55,0,1,0,NA,"Weather",NA,"D5C2D43F-4648-4D82-99B1-E96CA29E4500","22/1/22",NA,NA,121.8989057,-34.0312953,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"B1C70484-6603-4D98-A5A6-49EEFCB6FBDE",10,35,"None",NA,1976,6448,"Esperance","Male",NA,NA,NA,NA,7,"CU900",NA,"22/1/22 6:56"
"15","B1C70484-6603-4D98-A5A6-49EEFCB6FBDE","EH","BandyCreekBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","22/1/22",NA,NA,121.9321917,-33.83102167,"B1C70484-6603-4D98-A5A6-49EEFCB6FBDE","Boat","22/1/22","Casting","Bait","6:30","11:00",50,0,0,0,"0","Weather",NA,"3D49D3D9-1298-46D4-AF88-590F5AD01279","22/1/22",NA,NA,122.0245078,-33.92317817,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"B1C70484-6603-4D98-A5A6-49EEFCB6FBDE",10,35,"None",NA,1976,6448,"Esperance","Male",NA,NA,NA,NA,7,"CU900",NA,"22/1/22 6:56"
"16","5C97BB53-87BA-4BB2-B165-C7D919D44655","EH","LuckyBay","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","23/1/22",NA,NA,122.2182622,-33.98966325,"5C97BB53-87BA-4BB2-B165-C7D919D44655","Boat","23/1/22","Demersal","Both","4:30","9:00",45,9,6,0,"Naniigue","LowCatch",NA,"36354998-1920-4CF5-B158-7434A3B4E7B2","23/1/22",NA,NA,122.2386315,-34.0352034,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"5C97BB53-87BA-4BB2-B165-C7D919D44655",20,25,"None",NA,1982,6450,"Esperance","Male",NA,1,NA,2,8,"Df511","Have been deprecated twice ever, say it’s really rare. Also concern for marine park - not sure if commercial fishers will be impacted e.g. will purse-line fishers be allowed to operate in marine parks. Said that a valuable source of info is the fishing club.","23/1/22 2:19"
"17","5C97BB53-87BA-4BB2-B165-C7D919D44655","EH","LuckyBay","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","23/1/22",NA,NA,122.2182622,-33.98966325,"5C97BB53-87BA-4BB2-B165-C7D919D44655","Boat","23/1/22","Trolling","Both","9:00","10:00",30,0,0,0,NA,"Weather",NA,"CF0B9554-6D89-4188-8B6D-2648BE9AF20F","23/1/22",NA,NA,122.2448962,-34.02972962,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"5C97BB53-87BA-4BB2-B165-C7D919D44655",20,25,"None",NA,1982,6450,"Esperance","Male",NA,1,NA,2,8,"Df511","Have been deprecated twice ever, say it’s really rare. Also concern for marine park - not sure if commercial fishers will be impacted e.g. will purse-line fishers be allowed to operate in marine parks. Said that a valuable source of info is the fishing club.","23/1/22 2:19"
"18","ED8BEE0F-B535-4255-9E07-2A0A2CDC5650","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","23/1/22",NA,NA,121.8936532,-33.8653721,"ED8BEE0F-B535-4255-9E07-2A0A2CDC5650","Boat","23/1/22","Casting","Bait","11:00","12:00",8,0,0,0,NA,"ActivityChange",NA,"EA26CEDC-2091-4398-807D-57889022D4CE","23/1/22",NA,NA,121.9006254,-33.86632067,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"ED8BEE0F-B535-4255-9E07-2A0A2CDC5650",12,38,"None",NA,1980,6450,"Esperance","Male",1,NA,1,1,3,"GJ315",NA,"23/1/22 4:08"
"19","F850B07D-D08A-4597-8836-07CF3612057B","EH","EsperanceBR","Yes","No","Yes","Yes","2","Yes","2","0","0","23/1/22",NA,NA,121.8941809,-33.86585643,"F850B07D-D08A-4597-8836-07CF3612057B","Boat","23/1/22","Casting","Bait","10:00","12:00",15,3,4,0,"Black ark break sea cod,","Weather",NA,"286690C9-131D-4F8E-B246-6FCD3D8D1BC6","23/1/22",NA,NA,121.9027378,-33.91824485,"Extractive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"F850B07D-D08A-4597-8836-07CF3612057B",1,30,"None",NA,1977,6430,"Esperance","Male",NA,1,NA,NA,3,"BR445",NA,"23/1/22 4:40"
"20","1D84E23C-1C4A-468A-B00E-1099CC37D9B9","EH","EsperanceBR","Yes","No","Yes","Yes",NA,"Yes",NA,NA,"0","23/1/22",NA,NA,121.8942236,-33.86817338,"1D84E23C-1C4A-468A-B00E-1099CC37D9B9","Boat","22/1/22","Spearing","Bait","7:30","19:00",12,3,0,0,"Abalone, harlequin, queen snapper","EndOfDay","Thinks shark culls in recreational areas, they also swam throughout the day","5EDE66FB-050E-4DFD-A869-06A502C442D5","23/1/22",NA,NA,122.1103089,-33.99147852,"Extractive","0DB3E510-81A3-4163-B3DE-020A1C1041AB","1D84E23C-1C4A-468A-B00E-1099CC37D9B9","Boat","23/1/22","Snorkeling","9:00","12:30",0,"NaturalSurroundings","EndOfDay",21,30,NA,"23/1/22",NA,NA,121.8559411,-33.88835143,"NonExtractive",15,"1D84E23C-1C4A-468A-B00E-1099CC37D9B9",10,35,"DM",500,1977,6450,"Esperance","Male",1,NA,2,NA,3,"DD038","Commercial diver in the past","23/1/22 4:54"
