OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
55,62e5375b-d061-479f-b581-3c73fd465483,,NSH,BandyCreekBR,Yes,No,Yes,No,14,Yes,5,7,1,Nicole.Hamre_UWA,2/16/2022 4:55:11 AM,Nicole.Hamre_UWA,2/16/2022 4:55:11 AM,,,121.931259126099,-33.833156547712
56,e69fb4ce-15f4-42df-b15f-104d24e102fd,,NSH,DukeOrleans,Yes,No,Yes,Yes,5,Yes,2,All,0,Nicole.Hamre_UWA,2/17/2022 3:50:38 AM,Nicole.Hamre_UWA,2/17/2022 3:50:38 AM,,,122.579708316673,-33.9245027616709
57,58875847-f392-4ccb-a35c-d050a4772a99,,NSH,DukeOrleans,Yes,No,Yes,Yes,30,Yes,4,All,0,Nicole.Hamre_UWA,2/17/2022 4:23:25 AM,Nicole.Hamre_UWA,2/17/2022 4:23:25 AM,,,122.579729229452,-33.9245202203901
58,ef1ba608-26c6-4519-9b90-222d46b3b213,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/18/2022 12:12:31 AM,Nicole.Hamre_UWA,2/18/2022 12:12:31 AM,,,121.893906541476,-33.8686086389614
59,f21004a8-9ac1-425c-8308-53ec87c6c32f,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 2:23:22 AM,Nicole.Hamre_UWA,2/19/2022 2:23:22 AM,,,121.931698261237,-33.8332791216309
60,5c2e3e5a-7b08-4921-ade2-26f61ccc51fe,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 2:29:57 AM,Nicole.Hamre_UWA,2/19/2022 2:29:57 AM,,,121.930976277158,-33.8336476482211
61,f3880ed3-a4ea-4797-ac02-1f119ce18fab,,EH,BandyCreekBR,Yes,No,Yes,No,2,Yes,1,1,0,Nicole.Hamre_UWA,2/19/2022 3:23:00 AM,Nicole.Hamre_UWA,2/19/2022 3:23:00 AM,,,121.931383601156,-33.8337281220541
62,2ed390d3-7607-4408-a22e-6c04c6ddcfa2,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 3:28:20 AM,Nicole.Hamre_UWA,2/19/2022 3:28:20 AM,,,121.931120374117,-33.833999627967
63,92645370-848a-4e6d-a542-2393e7ef0a34,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 3:39:07 AM,Nicole.Hamre_UWA,2/19/2022 3:39:07 AM,,,121.930876097038,-33.8337412445811
64,e2e76373-85b8-48e9-a054-04fa6b457658,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 3:53:57 AM,Nicole.Hamre_UWA,2/19/2022 3:53:57 AM,,,121.931282999726,-33.8334548176971
65,be8a3801-d779-4c30-b1dd-24c6590bab15,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:08:37 AM,Nicole.Hamre_UWA,2/19/2022 4:08:37 AM,,,121.931221449857,-33.8335092861205
66,3783f8f8-18d2-41a6-a1c1-51b39a4320f8,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:16:11 AM,Nicole.Hamre_UWA,2/19/2022 4:16:11 AM,,,121.931194534535,-33.8337800569839
67,97586454-4fd6-452b-a16b-87203e01e829,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:24:53 AM,Nicole.Hamre_UWA,2/19/2022 4:24:53 AM,,,121.931163887611,-33.8334443896335
68,443c5b72-922d-489e-9b6b-323f1cf6b92d,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:40:22 AM,Nicole.Hamre_UWA,2/19/2022 4:40:22 AM,,,121.931293686084,-33.8336817096611
69,fcedcde4-5035-49e4-abdb-aee8f3cdf541,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:50:14 AM,Nicole.Hamre_UWA,2/19/2022 4:50:14 AM,,,121.931069646252,-33.8336790345621
70,3d61651b-35c8-42f5-ae6b-1465e738d0f6,,EH,BandyCreekBR,Yes,No,NE,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:56:36 AM,Nicole.Hamre_UWA,2/19/2022 4:56:36 AM,,,121.930828465667,-33.8331800133575
71,da74e667-bb5f-4409-ba2c-9c3f043fa2f8,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:03:00 AM,Nicole.Hamre_UWA,2/19/2022 5:03:00 AM,,,121.930884710983,-33.8333449069617
72,88ae9399-037e-41e0-a7d7-5970e27d8280,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:07:31 AM,Nicole.Hamre_UWA,2/19/2022 5:07:31 AM,,,121.931306569722,-33.8339600627586
73,a1e5b056-77da-48e8-be2c-6f5762c26e08,,EH,BandyCreekBR,Yes,No,Yes,Yes,2,Yes,2,2,0,Nicole.Hamre_UWA,2/19/2022 5:13:41 AM,Nicole.Hamre_UWA,2/19/2022 5:13:41 AM,,,121.931258867384,-33.8325130319403
74,7ea34af3-4664-4006-967e-cd1bde677861,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:17:54 AM,Nicole.Hamre_UWA,2/19/2022 5:17:54 AM,,,121.9308571884,-33.8336591694317
