"OBJECTID","GlobalID","aGUID","How many days have you fished in the last 12 months?","How many years have you been fishing for?","Are you a scuba diver? If so, what is your certification?","If SCUBA DIVER, how many dives have you done?","What year were you born?","What is your postcode?","If VISITOR, where are you staying?","# Female or Male","# Number of females in party (excluding participant)","# Number of males in party (excluding participant)","# Number of girls in party","# Number of boys in party","# Boat Length (m)","# Boat number","Comments","created_date","created_user","last_edited_date","last_edited_user"
193,"00000000-0000-0000-0000-000000000000","0C55F57C-00A3-40AC-8D9C-2EE46FB3DCEE",7,40,"None",NA,1963,6450,"Esperance","Female",NA,1,NA,NA,3,"22414",NA,"18/3/22 5:58","Nicole.Hamre_UWA","18/3/22 5:58","Nicole.Hamre_UWA"
194,"00000000-0000-0000-0000-000000000000","54D2C2BA-CB56-4577-B4E1-862065457C66",21,22,"None",0,1997,6016,"Esperance","Male",1,0,0,0,4,"EG872",NA,"17/3/22 4:19","Nicole.Hamre_UWA","17/3/22 4:19","Nicole.Hamre_UWA"
195,"00000000-0000-0000-0000-000000000000","9BA063E6-A3FD-4086-BFE8-AD649449F54F",20,40,"None",NA,1982,6450,"Esperance","Male",NA,1,NA,NA,4,"Gi504",NA,"18/3/22 5:50","Nicole.Hamre_UWA","18/3/22 5:50","Nicole.Hamre_UWA"
196,"00000000-0000-0000-0000-000000000000","32D8BFCD-AB55-4B91-B12E-5B7D669DB6DC",25,45,"None",0,1965,0,"Esperance","Male",0,0,0,0,5,"EC082",NA,"17/3/22 3:06","Nicole.Hamre_UWA","17/3/22 3:06","Nicole.Hamre_UWA"
197,"00000000-0000-0000-0000-000000000000","7F991869-47B8-45AB-9E80-7D6DD424209C",5,6,"None",0,1965,0,"Esperance","Female",0,2,0,0,8,"DW010",NA,"15/3/22 5:32","Nicole.Hamre_UWA","15/3/22 5:32","Nicole.Hamre_UWA"
198,"00000000-0000-0000-0000-000000000000","5F68C899-068D-48C4-B20A-1ED05C5B4C51",15,59,"None",0,1953,0,"Esperance","Male",0,2,0,0,6,NA,NA,"15/3/22 4:17","Nicole.Hamre_UWA","15/3/22 4:21","Nicole.Hamre_UWA"
199,"00000000-0000-0000-0000-000000000000","EF921A93-6341-4FB9-9F7B-6D777F9EEE79",40,20,"OW",500,1986,0,"Esperance","Male",0,1,0,0,5,"EH423","Made a comment about big whaler taking fish more often. Live here whole life used to never happen at all and it’s the common but has noticed it increase in the last couple of years. Nothing like Exmouth but noticeable increase.","17/3/22 5:17","Nicole.Hamre_UWA","17/3/22 5:17","Nicole.Hamre_UWA"
200,"00000000-0000-0000-0000-000000000000","691F3E20-93AD-4933-997A-598C707EE239",6,35,"None",NA,1982,6450,"Esperance","Male",1,NA,2,NA,3,"Df551",NA,"18/3/22 3:52","Nicole.Hamre_UWA","18/3/22 3:52","Nicole.Hamre_UWA"
201,"00000000-0000-0000-0000-000000000000","6F05F333-CE59-461B-96F9-F503E2C0C7D3",6,1,"None",0,1965,0,"Esperance","Male",0,0,0,0,5,"DF149",NA,"15/3/22 3:27","Nicole.Hamre_UWA","15/3/22 3:27","Nicole.Hamre_UWA"
202,"00000000-0000-0000-0000-000000000000","5CD49537-7E2B-4A94-BF16-317BC1A36BC0",35,20,"None",NA,1999,6450,"Esperance","Male",1,1,NA,NA,3,"Av079",NA,"19/3/22 2:04","Nicole.Hamre_UWA","19/3/22 2:06","Nicole.Hamre_UWA"
